,Date,IXIC
0,2023-11-03,"13,478.28"
1,2023-11-02,"13,294.19"
2,2023-11-01,"13,061.47"
3,2023-10-31,"12,851.24"
4,2023-10-30,"12,789.48"
5,2023-10-27,"12,643.01"
6,2023-10-26,"12,595.61"
7,2023-10-25,"12,821.22"
8,2023-10-24,"13,139.88"
9,2023-10-23,"13,018.33"
10,2023-10-20,"12,983.81"
11,2023-10-19,"13,186.17"
12,2023-10-18,"13,314.30"
13,2023-10-17,"13,533.75"
14,2023-10-16,"13,567.98"
15,2023-10-13,"13,407.23"
16,2023-10-12,"13,574.22"
17,2023-10-11,"13,659.68"
18,2023-10-10,"13,562.84"
19,2023-10-09,"13,484.24"
20,2023-10-06,"13,431.34"
21,2023-10-05,"13,219.83"
22,2023-10-04,"13,236.01"
23,2023-10-03,"13,059.47"
24,2023-10-02,"13,307.77"
25,2023-09-29,"13,219.32"
26,2023-09-28,"13,201.28"
27,2023-09-27,"13,092.85"
28,2023-09-26,"13,063.61"
29,2023-09-25,"13,271.32"
30,2023-09-22,"13,211.81"
31,2023-09-21,"13,223.99"
32,2023-09-20,"13,469.13"
33,2023-09-19,"13,678.19"
34,2023-09-18,"13,710.24"
35,2023-09-15,"13,708.33"
36,2023-09-14,"13,926.05"
37,2023-09-13,"13,813.58"
38,2023-09-12,"13,773.62"
39,2023-09-11,"13,917.89"
40,2023-09-08,"13,761.53"
41,2023-09-07,"13,748.83"
42,2023-09-06,"13,872.47"
43,2023-09-05,"14,020.95"
44,2023-09-01,"14,031.82"
45,2023-08-31,"14,034.97"
46,2023-08-30,"14,019.31"
47,2023-08-29,"13,943.76"
48,2023-08-28,"13,705.13"
49,2023-08-25,"13,590.65"
50,2023-08-24,"13,463.97"
51,2023-08-23,"13,721.03"
52,2023-08-22,"13,505.87"
53,2023-08-21,"13,497.59"
54,2023-08-18,"13,290.78"
55,2023-08-17,"13,316.93"
56,2023-08-16,"13,474.63"
57,2023-08-15,"13,631.05"
58,2023-08-14,"13,788.33"
59,2023-08-11,"13,644.85"
60,2023-08-10,"13,737.99"
61,2023-08-09,"13,722.02"
62,2023-08-08,"13,884.32"
63,2023-08-07,"13,994.40"
64,2023-08-04,"13,909.24"
65,2023-08-03,"13,959.71"
66,2023-08-02,"13,973.45"
67,2023-08-01,"14,283.91"
68,2023-07-31,"14,346.02"
69,2023-07-28,"14,316.66"
70,2023-07-27,"14,050.11"
71,2023-07-26,"14,127.28"
72,2023-07-25,"14,144.55"
73,2023-07-24,"14,058.87"
74,2023-07-21,"14,032.80"
75,2023-07-20,"14,063.31"
76,2023-07-19,"14,358.02"
77,2023-07-18,"14,353.64"
78,2023-07-17,"14,244.95"
79,2023-07-14,"14,113.70"
80,2023-07-13,"14,138.57"
81,2023-07-12,"13,918.96"
82,2023-07-11,"13,760.70"
83,2023-07-10,"13,685.48"
84,2023-07-07,"13,660.72"
85,2023-07-06,"13,679.04"
86,2023-07-05,"13,791.65"
87,2023-07-03,"13,816.77"
88,2023-06-30,"13,787.92"
89,2023-06-29,"13,591.33"
90,2023-06-28,"13,591.75"
91,2023-06-27,"13,555.67"
92,2023-06-26,"13,335.78"
93,2023-06-23,"13,492.52"
94,2023-06-22,"13,630.61"
95,2023-06-21,"13,502.20"
96,2023-06-20,"13,667.29"
97,2023-06-16,"13,689.57"
98,2023-06-15,"13,782.82"
99,2023-06-14,"13,626.48"
100,2023-06-13,"13,573.32"
101,2023-06-12,"13,461.92"
102,2023-06-09,"13,259.14"
103,2023-06-08,"13,238.52"
104,2023-06-07,"13,104.89"
105,2023-06-06,"13,276.42"
106,2023-06-05,"13,229.43"
107,2023-06-02,"13,240.77"
108,2023-06-01,"13,100.98"
109,2023-05-31,"12,935.29"
110,2023-05-30,"13,017.43"
111,2023-05-26,"12,975.69"
112,2023-05-25,"12,698.09"
113,2023-05-24,"12,484.16"
114,2023-05-23,"12,560.25"
115,2023-05-22,"12,720.78"
116,2023-05-19,"12,657.90"
117,2023-05-18,"12,688.84"
118,2023-05-17,"12,500.57"
119,2023-05-16,"12,343.05"
120,2023-05-15,"12,365.21"
121,2023-05-12,"12,284.74"
122,2023-05-11,"12,328.51"
123,2023-05-10,"12,306.44"
124,2023-05-09,"12,179.55"
125,2023-05-08,"12,256.92"
126,2023-05-05,"12,235.41"
127,2023-05-04,"11,966.40"
128,2023-05-03,"12,025.33"
129,2023-05-02,"12,080.51"
130,2023-05-01,"12,212.60"
131,2023-04-28,"12,226.58"
132,2023-04-27,"12,142.24"
133,2023-04-26,"11,854.35"
134,2023-04-25,"11,799.16"
135,2023-04-24,"12,037.20"
136,2023-04-21,"12,072.46"
137,2023-04-20,"12,059.56"
138,2023-04-19,"12,157.23"
139,2023-04-18,"12,153.41"
140,2023-04-17,"12,157.72"
141,2023-04-14,"12,123.46"
142,2023-04-13,"12,166.27"
143,2023-04-12,"11,929.34"
144,2023-04-11,"12,031.88"
145,2023-04-10,"12,084.36"
146,2023-04-06,"12,087.96"
147,2023-04-05,"11,996.86"
148,2023-04-04,"12,126.33"
149,2023-04-03,"12,189.45"
150,2023-03-31,"12,221.91"
151,2023-03-30,"12,013.47"
152,2023-03-29,"11,926.24"
153,2023-03-28,"11,716.08"
154,2023-03-27,"11,768.84"
155,2023-03-24,"11,823.96"
156,2023-03-23,"11,787.40"
157,2023-03-22,"11,669.96"
158,2023-03-21,"11,860.11"
159,2023-03-20,"11,675.54"
160,2023-03-17,"11,630.51"
161,2023-03-16,"11,717.28"
162,2023-03-15,"11,434.05"
163,2023-03-14,"11,428.15"
164,2023-03-13,"11,188.84"
165,2023-03-10,"11,138.89"
166,2023-03-09,"11,338.36"
167,2023-03-08,"11,576.00"
168,2023-03-07,"11,530.33"
169,2023-03-06,"11,675.74"
170,2023-03-03,"11,689.01"
171,2023-03-02,"11,462.98"
172,2023-03-01,"11,379.48"
173,2023-02-28,"11,455.54"
174,2023-02-27,"11,466.98"
175,2023-02-24,"11,394.94"
176,2023-02-23,"11,590.40"
177,2023-02-22,"11,507.07"
178,2023-02-21,"11,492.30"
179,2023-02-17,"11,787.27"
180,2023-02-16,"11,855.83"
181,2023-02-15,"12,070.59"
182,2023-02-14,"11,960.14"
183,2023-02-13,"11,891.79"
184,2023-02-10,"11,718.12"
185,2023-02-09,"11,789.58"
186,2023-02-08,"11,910.52"
187,2023-02-07,"12,113.79"
188,2023-02-06,"11,887.45"
189,2023-02-03,"12,006.96"
190,2023-02-02,"12,200.82"
191,2023-02-01,"11,816.32"
192,2023-01-31,"11,584.55"
193,2023-01-30,"11,393.81"
194,2023-01-27,"11,621.71"
195,2023-01-26,"11,512.41"
196,2023-01-25,"11,313.36"
197,2023-01-24,"11,334.27"
198,2023-01-23,"11,364.41"
199,2023-01-20,"11,140.43"
200,2023-01-19,"10,852.27"
201,2023-01-18,"10,957.01"
202,2023-01-17,"11,095.11"
203,2023-01-13,"11,079.16"
204,2023-01-12,"11,001.11"
