Date,Price
11/03/2023,497.76
11/02/2023,487.02
11/01/2023,471.85
10/31/2023,471.55
10/30/2023,481.99
10/27/2023,476.19
10/26/2023,481.55
10/25/2023,479.63
10/24/2023,488.05
10/23/2023,487.59
10/20/2023,489.74
10/19/2023,497.27
10/18/2023,505.99
10/17/2023,515.8
10/16/2023,515.46
10/13/2023,510.56
10/12/2023,520.09
10/11/2023,523.17
10/10/2023,520.78
10/09/2023,515.37
10/06/2023,513.34
10/05/2023,498.13
10/04/2023,501.59
10/03/2023,495.46
10/02/2023,506.99
09/29/2023,513.08
09/28/2023,521.5
09/27/2023,511.94
09/26/2023,516.26
09/25/2023,516.9
09/22/2023,513.16
09/21/2023,515.42
09/20/2023,535.04
09/19/2023,538.05
09/18/2023,533.09
09/15/2023,530.08
09/14/2023,538.69
09/13/2023,535.25
09/12/2023,525.97
09/11/2023,536.16
09/08/2023,533.79
09/07/2023,546.49
09/06/2023,541.84
09/05/2023,541.16
09/01/2023,541.39
08/31/2023,543.62
08/30/2023,544.13
08/29/2023,538.61
08/28/2023,532.15
08/25/2023,531.15
08/24/2023,532.46
08/23/2023,535.85
08/22/2023,527.91
08/21/2023,524.74
08/18/2023,520.17
08/17/2023,520.75
08/16/2023,529.63
08/15/2023,533.82
08/14/2023,547.28
08/11/2023,548.99
08/10/2023,546.86
08/09/2023,546.2
08/08/2023,548.07
08/07/2023,551.5
08/04/2023,542.26
08/03/2023,543.78
08/02/2023,545.25
08/01/2023,545.94
07/31/2023,548.08
07/28/2023,550.28
07/27/2023,553.6
07/26/2023,557.25
07/25/2023,548.2
07/24/2023,502.75
07/21/2023,511.42
07/20/2023,509.66
07/19/2023,507.94
07/18/2023,502.83
07/17/2023,499.25
07/14/2023,497.18
07/13/2023,497.78
07/12/2023,497.75
07/11/2023,486.65
07/10/2023,480.63
07/07/2023,471.75
07/06/2023,469.46
07/05/2023,473.32
07/03/2023,472.82
06/30/2023,469.29
06/29/2023,462.07
06/28/2023,463.32
06/27/2023,465.08
06/26/2023,463.25
06/23/2023,465.15
06/22/2023,467.2
06/21/2023,474.65
06/20/2023,473.78
06/16/2023,477.73
06/15/2023,487.55
06/14/2023,486.2
06/13/2023,479.99
06/12/2023,474.18
06/09/2023,473.85
06/08/2023,480.87
06/07/2023,472.49
06/06/2023,477.24
06/05/2023,480.81
06/02/2023,478.76
06/01/2023,466.97
05/31/2023,470.53
05/30/2023,471.41
05/26/2023,475.83
05/25/2023,466.51
05/24/2023,457.19
05/23/2023,460.1
05/22/2023,472.42
05/19/2023,469.84
05/18/2023,472.25
05/17/2023,461.27
05/16/2023,456.98
05/15/2023,463.56
05/12/2023,469.63
05/11/2023,470.4
05/10/2023,476.07
05/09/2023,472.87
05/08/2023,472.88
05/05/2023,473.65
05/04/2023,461.55
05/03/2023,465.77
05/02/2023,468.49
05/01/2023,483.03
04/28/2023,482.45
04/27/2023,464.29
04/26/2023,458.22
04/25/2023,471.15
04/24/2023,544.61
04/21/2023,544.6
04/20/2023,546.58
04/19/2023,545.48
04/18/2023,544.46
04/17/2023,537.57
04/14/2023,540.03
04/13/2023,542.61
04/12/2023,530.83
04/11/2023,529.67
04/10/2023,528.44
04/06/2023,533.65
04/05/2023,538.37
04/04/2023,550.38
04/03/2023,557.37
03/31/2023,559.69
03/30/2023,548.72
03/29/2023,550.93
03/28/2023,542.9
03/27/2023,540.35
03/24/2023,543.1
03/23/2023,546.96
03/22/2023,547.18
03/21/2023,554.33
03/20/2023,544.33
03/17/2023,537.09
03/16/2023,546.57
03/15/2023,536.77
03/14/2023,548.25
03/13/2023,528.28
03/10/2023,522.27
03/09/2023,535.04
03/08/2023,535.85
03/07/2023,533.98
03/06/2023,542.91
03/03/2023,536.67
03/02/2023,517.29
03/01/2023,515.45
02/28/2023,522.15
02/27/2023,525.79
02/24/2023,518.16
02/23/2023,527.78
02/22/2023,524.05
02/21/2023,524.82
02/17/2023,544.83
02/16/2023,552.99
02/15/2023,567.06
02/14/2023,561.82
02/13/2023,562.1
02/10/2023,549.33
02/09/2023,555.59
02/08/2023,556.9
02/07/2023,560.4
02/06/2023,553.4
02/03/2023,567.43
02/02/2023,568.44
02/01/2023,554.52
01/31/2023,531.56
01/30/2023,506.56
01/27/2023,519.92
01/26/2023,515.21
01/25/2023,508.64
01/24/2023,519.84
01/23/2023,514.98
01/20/2023,511.76
01/19/2023,495.79
01/18/2023,506.34
01/17/2023,510.28
01/13/2023,505.24
01/12/2023,504.05
01/11/2023,504.12
01/10/2023,488.08
01/09/2023,480.54
01/06/2023,469.01
01/05/2023,459.12
01/04/2023,474.12
01/03/2023,461.16
12/30/2022,465.17
12/29/2022,471.92
12/28/2022,454.44
12/27/2022,460.43
12/23/2022,463.82
12/22/2022,462.32
12/21/2022,472.36
12/20/2022,458.0
12/19/2022,461.94
12/16/2022,471.59
12/15/2022,476.68
12/14/2022,498.48
12/13/2022,512.02
12/12/2022,497.27
12/09/2022,492.55
12/08/2022,499.98
12/07/2022,500.4
12/06/2022,499.9
12/05/2022,504.49
12/02/2022,518.83
12/01/2022,521.39
11/30/2022,507.83
11/29/2022,486.32
11/28/2022,495.96
11/25/2022,512.26
11/23/2022,508.75
11/22/2022,502.67
11/21/2022,493.37
11/18/2022,490.31
11/17/2022,491.09
11/16/2022,507.21
11/15/2022,503.02
11/14/2022,492.24
11/11/2022,512.37
11/10/2022,509.7
11/09/2022,465.13
11/08/2022,467.9
11/07/2022,462.19
11/04/2022,460.91
11/03/2022,451.15
11/02/2022,453.74
11/01/2022,470.08
10/31/2022,468.86
10/28/2022,474.27
10/27/2022,455.22
