Date,Price
11/03/2023,3.6815
11/02/2023,3.6725
11/01/2023,3.6490
10/31/2023,3.6490
10/30/2023,3.6585
10/27/2023,3.6460
10/26/2023,3.5845
10/25/2023,3.5910
10/24/2023,3.6240
10/23/2023,3.5865
10/20/2023,3.5630
10/19/2023,3.6010
10/18/2023,3.5870
10/17/2023,3.5785
10/16/2023,3.5820
10/13/2023,3.5710
10/12/2023,3.5910
10/11/2023,3.6120
10/10/2023,3.6340
10/09/2023,3.6460
10/06/2023,3.6275
10/05/2023,3.5520
10/04/2023,3.5890
10/03/2023,3.6210
10/02/2023,3.6415
09/29/2023,3.7375
09/28/2023,3.7080
09/27/2023,3.6365
09/26/2023,3.6490
09/25/2023,3.6700
09/22/2023,3.6960
09/21/2023,3.6960
09/20/2023,3.7760
09/19/2023,3.7470
09/18/2023,3.7790
09/15/2023,3.8010
09/14/2023,3.8215
09/13/2023,3.7930
09/12/2023,3.7920
09/11/2023,3.8070
09/08/2023,3.7165
09/07/2023,3.7620
09/06/2023,3.7860
09/05/2023,3.8485
09/01/2023,3.8520
08/31/2023,3.8220
08/30/2023,3.8440
08/29/2023,3.8390
08/28/2023,3.7560
08/25/2023,3.7620
08/24/2023,3.7710
08/23/2023,3.8085
08/22/2023,3.7570
08/21/2023,3.7185
08/18/2023,3.7060
08/17/2023,3.6915
08/16/2023,3.6575
08/15/2023,3.6675
08/14/2023,3.7255
08/11/2023,3.7190
08/10/2023,3.7650
08/09/2023,3.7835
08/08/2023,3.7665
08/07/2023,3.8350
08/04/2023,3.8675
08/03/2023,3.8995
08/02/2023,3.8435
08/01/2023,3.9085
07/31/2023,4.0080
07/28/2023,3.9265
07/27/2023,3.8755
07/26/2023,3.9020
07/25/2023,3.9155
07/24/2023,3.8555
07/21/2023,3.8180
07/20/2023,3.8345
07/19/2023,3.8140
07/18/2023,3.8295
07/17/2023,3.8440
07/14/2023,3.9330
07/13/2023,3.9400
07/12/2023,3.8530
07/11/2023,3.7660
07/10/2023,3.7845
07/07/2023,3.7820
07/06/2023,3.7345
07/05/2023,3.7685
07/03/2023,3.7940
06/30/2023,3.7595
06/29/2023,3.6990
06/28/2023,3.7425
06/27/2023,3.7885
06/26/2023,3.7840
06/23/2023,3.8035
06/22/2023,3.8900
06/21/2023,3.9135
06/20/2023,3.8835
06/16/2023,3.8890
06/15/2023,3.9010
06/14/2023,3.8700
06/13/2023,3.8310
06/12/2023,3.7520
06/09/2023,3.7890
06/08/2023,3.7950
06/07/2023,3.7560
06/06/2023,3.7685
06/05/2023,3.7680
06/02/2023,3.7275
06/01/2023,3.7110
05/31/2023,3.6370
05/30/2023,3.6630
05/26/2023,3.6820
05/25/2023,3.5880
05/24/2023,3.5615
05/23/2023,3.6545
05/22/2023,3.6850
05/19/2023,3.7320
05/18/2023,3.6895
05/17/2023,3.7545
05/16/2023,3.6670
05/15/2023,3.7510
05/12/2023,3.7285
05/11/2023,3.7100
05/10/2023,3.8410
05/09/2023,3.9015
05/08/2023,3.9295
05/05/2023,3.8830
05/04/2023,3.8630
05/03/2023,3.8450
05/02/2023,3.8625
05/01/2023,3.9340
04/28/2023,3.8905
04/27/2023,3.8840
04/26/2023,3.8615
04/25/2023,3.8480
04/24/2023,3.9540
04/21/2023,3.9800
04/20/2023,4.0255
04/19/2023,4.0770
04/18/2023,4.0915
04/17/2023,4.0660
04/14/2023,4.1065
04/13/2023,4.1240
04/12/2023,4.0810
04/11/2023,4.0195
04/10/2023,3.9765
04/06/2023,4.0155
04/05/2023,3.9865
04/04/2023,3.9710
04/03/2023,4.0455
03/31/2023,4.0945
03/30/2023,4.0915
03/29/2023,4.0865
03/28/2023,4.0855
03/27/2023,4.0785
03/24/2023,4.0750
03/23/2023,4.1235
03/22/2023,4.0445
03/21/2023,3.9940
03/20/2023,3.9515
03/17/2023,3.8925
03/16/2023,3.8645
03/15/2023,3.8430
03/14/2023,4.0030
03/13/2023,4.0535
03/10/2023,4.0305
03/09/2023,4.0390
03/08/2023,4.0270
03/07/2023,3.9750
03/06/2023,4.0885
03/03/2023,4.0670
03/02/2023,4.0760
03/01/2023,4.1600
02/28/2023,4.0895
02/27/2023,4.0110
02/24/2023,3.9520
02/23/2023,4.0590
02/22/2023,4.1905
02/21/2023,4.2255
02/17/2023,4.1085
02/16/2023,4.1355
02/15/2023,4.0105
02/14/2023,4.0750
02/13/2023,4.0575
02/10/2023,4.0165
02/09/2023,4.0970
02/08/2023,4.0355
02/07/2023,4.0805
02/06/2023,4.0350
02/03/2023,4.0565
02/02/2023,4.0910
02/01/2023,4.1110
01/31/2023,4.2260
01/30/2023,4.2020
01/27/2023,4.2225
01/26/2023,4.2675
01/25/2023,4.2445
01/24/2023,4.2485
01/23/2023,4.2565
01/20/2023,4.2515
01/19/2023,4.2315
01/18/2023,4.2345
01/17/2023,4.2230
01/13/2023,4.2160
01/12/2023,4.1965
01/11/2023,4.1660
01/10/2023,4.0775
01/09/2023,4.0265
01/06/2023,3.9110
01/05/2023,3.8210
01/04/2023,3.7405
01/03/2023,3.7665
12/30/2022,3.8105
12/29/2022,3.8240
12/28/2022,3.8425
12/27/2022,3.8405
12/23/2022,3.8090
12/22/2022,3.7570
12/21/2022,3.8100
12/20/2022,3.7990
12/19/2022,3.7830
12/16/2022,3.7615
12/15/2022,3.7630
12/14/2022,3.8780
12/13/2022,3.8420
12/12/2022,3.8005
12/09/2022,3.8785
12/08/2022,3.8835
12/07/2022,3.8605
12/06/2022,3.8180
12/05/2022,3.7950
12/02/2022,3.8505
12/01/2022,3.8175
11/30/2022,3.7380
11/29/2022,3.6395
11/28/2022,3.6115
11/25/2022,3.6275
11/23/2022,3.6180
11/22/2022,3.6145
11/21/2022,3.5715
11/18/2022,3.6320
11/17/2022,3.6880
11/16/2022,3.7735
11/15/2022,3.8200
11/14/2022,3.8335
11/11/2022,3.9135
11/10/2022,3.7580
11/09/2022,3.7000
11/08/2022,3.6825
11/07/2022,3.6035
11/04/2022,3.6865
11/03/2022,3.4270
11/02/2022,3.4685
11/01/2022,3.4725
10/31/2022,3.3750
10/28/2022,3.4290
10/27/2022,3.5195
10/26/2022,3.5450
10/25/2022,3.3970
10/24/2022,3.4305
10/21/2022,3.4745
10/20/2022,3.4105
10/19/2022,3.3180
10/18/2022,3.3620
10/17/2022,3.4155
10/14/2022,3.4235
10/13/2022,3.4405
10/12/2022,3.4250
10/11/2022,3.4620
10/10/2022,3.4305
10/07/2022,3.3865
10/06/2022,3.4460
10/05/2022,3.5005
10/04/2022,3.4900
10/03/2022,3.4100
09/30/2022,3.4125
09/29/2022,3.4180
09/28/2022,3.3585
09/27/2022,3.2835
09/26/2022,3.2945
09/23/2022,3.3430
09/22/2022,3.4710
09/21/2022,3.4670
09/20/2022,3.5030
09/19/2022,3.5125
09/16/2022,3.5165
09/15/2022,3.4900
09/14/2022,3.5195
09/13/2022,3.5555
09/12/2022,3.6105
09/09/2022,3.5680
09/08/2022,3.5270
09/07/2022,3.4305
09/06/2022,3.4620
09/02/2022,3.4135
09/01/2022,3.4065
08/31/2022,3.5185
08/30/2022,3.5510
08/29/2022,3.6120
08/26/2022,3.6970
08/25/2022,3.6990
08/24/2022,3.6440
08/23/2022,3.6955
08/22/2022,3.6515
08/19/2022,3.6645
08/18/2022,3.6315
08/17/2022,3.5835
08/16/2022,3.6245
08/15/2022,3.6175
08/12/2022,3.6685
08/11/2022,3.7065
08/10/2022,3.6495
08/09/2022,3.5855
08/08/2022,3.5865
08/05/2022,3.5520
08/04/2022,3.4815
08/03/2022,3.4670
08/02/2022,3.5185
08/01/2022,3.5425
07/29/2022,3.5735
07/28/2022,3.4745
07/27/2022,3.4300
07/26/2022,3.3845
07/25/2022,3.3545
07/22/2022,3.3495
07/21/2022,3.2985
07/20/2022,3.3250
07/19/2022,3.2910
07/18/2022,3.3460
07/15/2022,3.2340
07/14/2022,3.2115
07/13/2022,3.3225
07/12/2022,3.2880
07/11/2022,3.4305
07/08/2022,3.5220
07/07/2022,3.5720
07/06/2022,3.4080
07/05/2022,3.4150
07/01/2022,3.6040
06/30/2022,3.7100
06/29/2022,3.7805
06/28/2022,3.7800
06/27/2022,3.7625
06/24/2022,3.7405
06/23/2022,3.7390
06/22/2022,3.9440
06/21/2022,4.0390
06/17/2022,4.0135
06/16/2022,4.1080
06/15/2022,4.1635
06/14/2022,4.1565
06/13/2022,4.2115
06/10/2022,4.2945
06/09/2022,4.3810
06/08/2022,4.4545
06/07/2022,4.4355
06/06/2022,4.4350
06/03/2022,4.4720
06/02/2022,4.5525
06/01/2022,4.3285
05/31/2022,4.2960
05/27/2022,4.3065
05/26/2022,4.2590
05/25/2022,4.2545
05/24/2022,4.3050
05/23/2022,4.3455
05/20/2022,4.2750
05/19/2022,4.2830
05/18/2022,4.1785
05/17/2022,4.2390
05/16/2022,4.1915
05/13/2022,4.1750
05/12/2022,4.1005
05/11/2022,4.2090
05/10/2022,4.1545
05/09/2022,4.1935
05/06/2022,4.2670
05/05/2022,4.2915
05/04/2022,4.3380
05/03/2022,4.2830
05/02/2022,4.2680
04/29/2022,4.4085
04/28/2022,4.4335
04/27/2022,4.4750
04/26/2022,4.4640
04/25/2022,4.4490
04/22/2022,4.5815
04/21/2022,4.7040
04/20/2022,4.6520
04/19/2022,4.7180
04/18/2022,4.8020
04/14/2022,4.7235
04/13/2022,4.7120
04/12/2022,4.7095
04/11/2022,4.6340
04/08/2022,4.7250
04/07/2022,4.6995
04/06/2022,4.7380
04/05/2022,4.7950
04/04/2022,4.7815
04/01/2022,4.6885
03/31/2022,4.7510
03/30/2022,4.7505
03/29/2022,4.7310
03/28/2022,4.7255
03/25/2022,4.6985
03/24/2022,4.7425
03/23/2022,4.7765
03/22/2022,4.7000
03/21/2022,4.7105
03/18/2022,4.7395
03/17/2022,4.7020
03/16/2022,4.6005
03/15/2022,4.5130
03/14/2022,4.5230
03/11/2022,4.6255
03/10/2022,4.6525
03/09/2022,4.5725
03/08/2022,4.7100
03/07/2022,4.7310
03/04/2022,4.9375
03/03/2022,4.7815
03/02/2022,4.6655
03/01/2022,4.5965
02/28/2022,4.4545
02/25/2022,4.4850
02/24/2022,4.4560
02/23/2022,4.4840
02/22/2022,4.5105
02/18/2022,4.5195
02/17/2022,4.5230
02/16/2022,4.5365
02/15/2022,4.5315
02/14/2022,4.5075
02/11/2022,4.5060
02/10/2022,4.6595
02/09/2022,4.6025
02/08/2022,4.4610
02/07/2022,4.4625
02/04/2022,4.4875
02/03/2022,4.4710
02/02/2022,4.4960
02/01/2022,4.4340
01/31/2022,4.3245
01/28/2022,4.3100
01/27/2022,4.4235
01/26/2022,4.5150
01/25/2022,4.4500
01/24/2022,4.4125
01/21/2022,4.5240
01/20/2022,4.5825
01/19/2022,4.4700
01/18/2022,4.3825
01/14/2022,4.4205
01/13/2022,4.5460
01/12/2022,4.5765
01/11/2022,4.4290
01/10/2022,4.3520
01/07/2022,4.4100
01/06/2022,4.3545
01/05/2022,4.4135
01/04/2022,4.4750
01/03/2022,4.4215
12/31/2021,4.4635
12/30/2021,4.3925
12/29/2021,4.4130
12/28/2021,4.4330
12/27/2021,4.4720
12/23/2021,4.3925
12/22/2021,4.3915
12/21/2021,4.3460
12/20/2021,4.2935
12/17/2021,4.2950
12/16/2021,4.3045
12/15/2021,4.1825
12/14/2021,4.2575
12/13/2021,4.2840
12/10/2021,4.2865
12/09/2021,4.3330
12/08/2021,4.3935
12/07/2021,4.3395
12/06/2021,4.3375
12/03/2021,4.2670
12/02/2021,4.2990
12/01/2021,4.2475
11/30/2021,4.2800
11/29/2021,4.3410
11/26/2021,4.2835
11/24/2021,4.4590
11/23/2021,4.4235
11/22/2021,4.3965
11/19/2021,4.4075
11/18/2021,4.3045
11/17/2021,4.2660
11/16/2021,4.3515
