Date,NLR
11/03/2023,71.36
11/02/2023,72.14
11/01/2023,70.98
10/31/2023,69.93
10/30/2023,68.35
10/27/2023,67.28
10/26/2023,68.63
10/25/2023,69.41
10/24/2023,69.47
10/23/2023,68.05
10/20/2023,67.97
10/19/2023,68.88
10/18/2023,68.22
10/17/2023,68.73
10/16/2023,67.91
10/13/2023,68.55
10/12/2023,68.08
10/11/2023,69.24
10/10/2023,69.71
10/09/2023,68.25
10/06/2023,68.99
10/05/2023,67.74
10/04/2023,66.79
10/03/2023,67.19
10/02/2023,68.33
09/29/2023,70.85
09/28/2023,72.39
09/27/2023,70.69
09/26/2023,71.11
09/25/2023,72.99
09/22/2023,71.37
09/21/2023,69.07
09/20/2023,70.23
09/19/2023,70.21
09/18/2023,71.05
09/15/2023,70.72
09/14/2023,70.19
09/13/2023,68.27
09/12/2023,66.76
09/11/2023,67.0
09/08/2023,66.0
09/07/2023,65.54
09/06/2023,65.54
09/05/2023,66.12
09/01/2023,65.22
08/31/2023,64.3
08/30/2023,64.86
08/29/2023,64.39
08/28/2023,64.2
08/25/2023,63.82
08/24/2023,62.92
08/23/2023,63.94
08/22/2023,63.28
08/21/2023,63.27
08/18/2023,61.68
08/17/2023,60.73
08/16/2023,61.12
08/15/2023,61.31
08/14/2023,62.38
08/11/2023,62.46
08/10/2023,61.7
08/09/2023,61.69
08/08/2023,61.56
08/07/2023,61.53
08/04/2023,60.8
08/03/2023,60.26
08/02/2023,60.25
08/01/2023,61.01
07/31/2023,61.38
07/28/2023,59.95
07/27/2023,59.35
07/26/2023,60.9
07/25/2023,61.29
07/24/2023,60.46
07/21/2023,60.31
07/20/2023,60.76
07/19/2023,60.75
07/18/2023,60.78
07/17/2023,60.34
07/14/2023,60.26
07/13/2023,61.48
07/12/2023,60.53
07/11/2023,59.77
07/10/2023,58.96
07/07/2023,58.69
07/06/2023,57.86
07/05/2023,59.15
07/03/2023,59.51
06/30/2023,59.41
06/29/2023,58.94
06/28/2023,58.76
06/27/2023,58.66
06/26/2023,58.15
06/23/2023,58.09
06/22/2023,59.02
06/21/2023,59.96
06/20/2023,60.15
06/16/2023,60.59
06/15/2023,60.23
06/14/2023,59.59
06/13/2023,60.12
06/12/2023,60.24
06/09/2023,58.98
06/08/2023,58.78
06/07/2023,58.0
06/06/2023,57.91
06/05/2023,58.48
06/02/2023,57.73
06/01/2023,56.95
05/31/2023,54.64
