Date,Price
11/03/2023,80.51
11/02/2023,82.46
11/01/2023,80.44
10/31/2023,81.02
10/30/2023,82.31
10/27/2023,85.54
10/26/2023,83.21
10/25/2023,85.39
10/24/2023,83.74
10/23/2023,85.49
10/20/2023,88.08
10/19/2023,88.37
10/18/2023,87.27
10/17/2023,86.66
10/16/2023,86.66
10/13/2023,87.69
10/12/2023,82.91
10/11/2023,83.49
10/10/2023,85.97
10/09/2023,86.38
10/06/2023,82.79
10/05/2023,82.31
10/04/2023,84.22
10/03/2023,89.23
10/02/2023,88.82
09/29/2023,90.79
09/28/2023,91.71
09/27/2023,93.68
09/26/2023,90.39
09/25/2023,89.68
09/22/2023,90.03
09/21/2023,89.63
09/20/2023,89.66
09/19/2023,90.48
09/18/2023,90.58
09/15/2023,90.77
09/14/2023,90.16
09/13/2023,88.52
09/12/2023,88.84
09/11/2023,87.29
09/08/2023,87.51
09/07/2023,86.87
09/06/2023,87.54
09/05/2023,86.69
09/01/2023,85.55
08/31/2023,83.63
08/30/2023,81.63
08/29/2023,81.16
08/28/2023,80.10
08/25/2023,79.83
08/24/2023,79.05
08/23/2023,78.89
08/22/2023,79.64
08/21/2023,80.12
08/18/2023,80.66
08/17/2023,80.39
08/16/2023,79.38
08/15/2023,80.99
08/14/2023,82.51
08/11/2023,83.19
08/10/2023,82.82
08/09/2023,84.40
08/08/2023,82.92
08/07/2023,81.94
08/04/2023,82.82
08/03/2023,81.55
08/02/2023,79.49
08/01/2023,81.37
07/31/2023,81.80
07/28/2023,80.58
07/27/2023,80.09
07/26/2023,78.78
07/25/2023,79.63
07/24/2023,78.74
07/21/2023,77.07
07/20/2023,75.65
07/19/2023,75.29
07/18/2023,75.66
07/17/2023,74.15
07/14/2023,75.42
07/13/2023,76.89
07/12/2023,75.75
07/11/2023,74.83
07/10/2023,72.99
07/07/2023,73.86
07/06/2023,71.80
07/05/2023,71.79
07/03/2023,69.79
06/30/2023,70.64
06/29/2023,69.86
06/28/2023,69.56
06/27/2023,67.70
06/26/2023,69.37
06/23/2023,69.16
06/22/2023,69.51
06/21/2023,72.53
06/20/2023,71.19
06/16/2023,71.93
06/15/2023,70.62
