time,open,high,low,close,vol
2023-11-01,80.82,82.83,80.22,82.46,"307,122"
2023-10-31,81.48,83.42,80.30,80.44,"321,592"
2023-10-30,82.59,83.37,80.74,81.02,"346,007"
2023-10-29,85.00,85.30,81.82,82.31,"356,928"
2023-10-26,83.53,85.90,83.10,85.54,"333,760"
2023-10-25,85.37,85.59,82.56,83.21,"341,792"
2023-10-24,83.69,85.56,82.08,85.39,"429,459"
2023-10-23,86.15,86.30,82.94,83.74,"370,591"
2023-10-22,88.00,88.29,85.35,85.49,"315,517"
2023-10-19,90.28,90.78,88.33,88.75,"311,917"
2023-10-18,88.24,90.68,86.60,89.37,"72,058"
2023-10-17,87.81,89.88,87.20,88.32,"92,797"
2023-10-16,87.06,87.75,85.60,86.66,"197,124"
2023-10-15,87.72,88.33,86.32,86.66,"235,780"
2023-10-12,83.51,87.83,83.35,87.69,"356,863"
2023-10-11,83.20,85.20,82.31,82.91,"373,492"
2023-10-10,85.96,86.51,83.11,83.49,"425,395"
2023-10-09,86.43,86.74,85.12,85.97,"337,654"
2023-10-08,85.25,87.24,84.67,86.38,"435,037"
2023-10-05,82.28,83.28,81.50,82.79,"461,139"
2023-10-04,84.45,84.92,82.15,82.31,"465,997"
2023-10-03,89.42,89.59,84.16,84.22,"459,995"
2023-10-02,88.67,90.27,87.76,89.23,"350,659"
2023-10-01,90.82,91.88,88.46,88.82,"334,493"
2023-09-28,91.76,93.10,90.35,90.79,"355,782"
2023-09-27,93.78,95.03,91.39,91.71,"406,709"
2023-09-26,90.53,94.17,90.40,93.68,"504,630"
2023-09-25,89.88,90.74,88.19,90.39,"318,016"
2023-09-24,90.55,90.83,89.03,89.68,"328,369"
2023-09-21,89.62,91.33,89.31,90.03,"402,087"
2023-09-20,89.30,90.98,88.37,89.63,"351,032"
2023-09-19,91.55,91.98,89.87,90.28,"457,854"
2023-09-18,92.22,93.74,91.07,91.20,"94,597"
2023-09-17,91.20,92.43,90.75,91.48,"119,258"
2023-09-14,90.67,91.23,89.22,90.77,"315,003"
2023-09-13,88.81,90.79,88.68,90.16,"325,270"
2023-09-12,88.75,89.64,88.29,88.52,"345,972"
2023-09-11,87.27,89.37,87.22,88.84,"341,137"
2023-09-10,87.40,88.15,86.71,87.29,"292,388"
2023-09-07,86.78,87.95,86.15,87.51,"294,437"
2023-09-06,87.54,87.74,86.39,86.87,"270,736"
2023-09-05,86.72,88.08,85.93,87.54,"307,115"
2023-09-04,86.06,88.07,85.02,86.69,"452,908"
2023-08-31,83.63,86.06,83.46,85.55,"420,461"
2023-08-30,81.70,83.69,81.48,83.63,"368,848"
2023-08-29,81.29,82.05,80.88,81.63,"299,418"
2023-08-28,79.98,81.41,79.34,81.16,"284,168"
2023-08-27,80.15,80.87,79.61,80.10,"246,584"
2023-08-24,78.88,80.45,78.14,79.83,"411,409"
2023-08-23,78.57,79.28,77.59,79.05,"349,230"
2023-08-22,79.64,79.91,77.62,78.89,"378,146"
2023-08-21,80.80,80.99,80.10,80.35,"287,489"
2023-08-20,81.43,82.47,80.61,80.72,"115,874"
2023-08-17,80.04,81.61,79.59,81.25,"128,090"
2023-08-16,79.25,81.08,78.95,80.39,"235,581"
2023-08-15,81.23,81.43,79.05,79.38,"325,403"
2023-08-14,82.52,82.91,80.40,80.99,"303,207"
2023-08-13,83.09,83.20,81.76,82.51,"277,352"
2023-08-10,82.83,83.81,82.23,83.19,"331,254"
2023-08-09,84.25,84.89,82.58,82.82,"362,188"
2023-08-08,82.88,84.65,82.67,84.40,"478,140"
2023-08-07,82.53,83.08,79.90,82.92,"424,545"
2023-08-06,82.82,83.30,81.52,81.94,"293,036"
2023-08-03,81.73,83.24,81.51,82.82,"320,873"
2023-08-02,79.77,81.86,78.69,81.55,"402,641"
2023-08-01,82.05,82.43,79.05,79.49,"414,825"
2023-07-31,81.73,82.22,80.59,81.37,"307,859"
2023-07-30,80.65,82.00,80.13,81.80,"297,270"
2023-07-27,79.84,80.71,79.07,80.58,"299,547"
2023-07-26,78.90,80.60,78.87,80.09,"374,358"
2023-07-25,79.34,79.77,78.55,78.78,"322,031"
2023-07-24,78.85,79.90,78.29,79.63,"349,600"
2023-07-23,77.01,79.28,76.44,78.74,"368,285"
2023-07-20,75.70,77.29,75.69,77.07,"308,106"
2023-07-19,75.35,76.15,74.72,75.63,"340,962"
2023-07-18,75.84,76.97,75.07,75.35,"92,920"
2023-07-17,74.18,75.96,73.88,75.75,"125,092"
2023-07-16,75.02,76.09,73.84,74.15,"244,785"
2023-07-13,77.16,77.30,75.11,75.42,"299,576"
2023-07-12,75.85,77.33,75.32,76.89,"379,728"
2023-07-11,74.83,76.15,74.67,75.75,"352,887"
2023-07-10,73.19,74.96,72.98,74.83,"326,883"
2023-07-09,73.86,74.15,72.67,72.99,"301,014"
2023-07-06,71.89,73.92,71.19,73.86,"362,632"
2023-07-05,71.80,72.34,70.22,71.80,"395,381"
2023-07-04,70.15,72.17,69.90,71.79,"456,809"
2023-07-03,70.45,71.77,69.69,69.79,"303,479"
2023-06-29,69.82,71.04,69.53,70.64,"299,873"
