time,open,high,low,close,vol
2023-11-03,1.0619,1.0737,1.0615,1.0619,-
2023-11-02,1.0587,1.0670,1.0584,1.0587,-
2023-11-01,1.0579,1.0581,1.0523,1.0579,-
2023-10-31,1.0615,1.0669,1.0568,1.0615,-
2023-10-30,1.0562,1.0626,1.0548,1.0562,-
2023-10-26,1.0564,1.0598,1.0536,1.0564,-
2023-10-25,1.0567,1.0570,1.0526,1.0567,-
2023-10-24,1.0595,1.0607,1.0567,1.0595,-
2023-10-23,1.0670,1.0690,1.0584,1.0670,-
2023-10-22,1.0590,1.0647,1.0572,1.0590,-
2023-10-19,1.0586,1.0601,1.0566,1.0586,-
2023-10-18,1.0539,1.0585,1.0529,1.0539,-
2023-10-17,1.0573,1.0595,1.0527,1.0573,-
2023-10-16,1.0554,1.0595,1.0533,1.0554,-
2023-10-15,1.0522,1.0555,1.0516,1.0522,-
2023-10-12,1.0537,1.0559,1.0496,1.0537,-
2023-10-11,1.0624,1.0639,1.0546,1.0624,-
2023-10-10,1.0605,1.0634,1.0593,1.0605,-
2023-10-09,1.0579,1.0620,1.0556,1.0579,-
2023-10-08,1.0567,1.0576,1.0521,1.0567,-
2023-10-05,1.0547,1.0598,1.0484,1.0547,-
2023-10-04,1.0507,1.0537,1.0501,1.0507,-
2023-10-03,1.0472,1.0532,1.0454,1.0472,-
2023-10-02,1.0481,1.0494,1.0450,1.0481,-
2023-10-01,1.0565,1.0591,1.0493,1.0565,-
2023-09-28,1.0562,1.0618,1.0559,1.0562,-
2023-09-27,1.0505,1.0579,1.0492,1.0505,-
2023-09-26,1.0569,1.0574,1.0509,1.0569,-
2023-09-25,1.0592,1.0609,1.0568,1.0592,-
2023-09-24,1.0648,1.0655,1.0577,1.0648,-
2023-09-21,1.0662,1.0672,1.0615,1.0662,-
2023-09-20,1.0653,1.0674,1.0619,1.0653,-
2023-09-19,1.0682,1.0727,1.0676,1.0682,-
2023-09-18,1.0693,1.0719,1.0676,1.0693,-
2023-09-17,1.0668,1.0698,1.0656,1.0668,-
2023-09-14,1.0637,1.0688,1.0635,1.0637,-
2023-09-13,1.0734,1.0755,1.0655,1.0734,-
2023-09-12,1.0753,1.0765,1.0717,1.0753,-
2023-09-11,1.0750,1.0763,1.0706,1.0750,-
2023-09-10,1.0718,1.0757,1.0711,1.0718,-
2023-09-07,1.0698,1.0742,1.0695,1.0698,-
2023-09-06,1.0724,1.0734,1.0688,1.0724,-
2023-09-05,1.0726,1.0748,1.0705,1.0726,-
2023-09-04,1.0794,1.0799,1.0708,1.0794,-
2023-09-03,1.0776,1.0809,1.0774,1.0776,-
2023-08-31,1.0844,1.0881,1.0786,1.0844,-
2023-08-30,1.0933,1.0940,1.0837,1.0933,-
2023-08-29,1.0869,1.0945,1.0856,1.0869,-
2023-08-28,1.0826,1.0857,1.0784,1.0826,-
2023-08-27,1.0797,1.0821,1.0799,1.0797,-
2023-08-24,1.0799,1.0840,1.0767,1.0799,-
2023-08-23,1.0866,1.0877,1.0815,1.0866,-
2023-08-22,1.0847,1.0871,1.0803,1.0847,-
2023-08-21,1.0898,1.0932,1.0834,1.0898,-
2023-08-20,1.0876,1.0914,1.0871,1.0876,-
2023-08-17,1.0875,1.0896,1.0846,1.0875,-
2023-08-16,1.0875,1.0917,1.0862,1.0875,-
2023-08-15,1.0904,1.0935,1.0898,1.0904,-
2023-08-14,1.0910,1.0950,1.0901,1.0910,-
2023-08-13,1.0944,1.0960,1.0877,1.0944,-
2023-08-10,1.0982,1.1004,1.0952,1.0982,-
2023-08-09,1.0978,1.1058,1.0968,1.0978,-
2023-08-08,1.0959,1.0994,1.0956,1.0959,-
2023-08-07,1.1003,1.1010,1.0931,1.1003,-
2023-08-06,1.1003,1.1012,1.0966,1.1003,-
2023-08-03,1.0952,1.1041,1.0936,1.0952,-
2023-08-02,1.0944,1.0954,1.0914,1.0944,-
2023-08-01,1.1008,1.1007,1.0920,1.1008,-
2023-07-31,1.0998,1.1002,1.0954,1.0998,-
2023-07-30,1.1024,1.1045,1.1006,1.1024,-
2023-07-27,1.0979,1.1047,1.0947,1.0979,-
2023-07-26,1.1078,1.1152,1.0985,1.1078,-
2023-07-25,1.1050,1.1086,1.1038,1.1050,-
2023-07-24,1.1063,1.1089,1.1022,1.1063,-
2023-07-23,1.1125,1.1145,1.1069,1.1125,-
2023-07-20,1.1137,1.1147,1.1110,1.1137,-
2023-07-19,1.1205,1.1230,1.1133,1.1205,-
2023-07-18,1.1229,1.1240,1.1176,1.1229,-
2023-07-17,1.1238,1.1276,1.1220,1.1238,-
2023-07-16,1.1228,1.1251,1.1205,1.1228,-
2023-07-13,1.1223,1.1245,1.1206,1.1223,-
2023-07-12,1.1145,1.1196,1.1131,1.1145,-
2023-07-11,1.1014,1.1126,1.1013,1.1014,-
2023-07-10,1.1006,1.1026,1.0979,1.1006,-
2023-07-09,1.0970,1.0993,1.0945,1.0970,-
2023-07-06,1.0891,1.0965,1.0869,1.0891,-
2023-07-05,1.0857,1.0902,1.0834,1.0857,-
2023-07-04,1.0885,1.0906,1.0865,1.0885,-
2023-07-03,1.0913,1.0918,1.0891,1.0913,-
