date,GOLD_price,GOLD_open,GOLD_high,GOLD_low
03/11/2023,1999.2,1993.5,2011.9,1989.3
02/11/2023,1993.5,1992.0,1999.2,1986.3
01/11/2023,1987.5,1993.3,2005.9,1978.2
31/10/2023,1994.3,2005.6,2017.7,1987.4
30/10/2023,2005.6,2013.5,2016.8,1999.7
27/10/2023,1989.0,1987.5,2009.8,1978.5
26/10/2023,1987.9,1981.6,1992.5,1974.4
25/10/2023,1985.5,1972.0,1988.8,1971.0
24/10/2023,1976.8,1975.1,1980.3,1958.3
23/10/2023,1978.2,1977.9,1983.1,1963.6
20/10/2023,1994.4,1988.0,2009.2,1983.7
19/10/2023,1980.5,1960.1,1990.2,1957.0
18/10/2023,1968.3,1936.7,1975.8,1935.9
17/10/2023,1935.7,1933.3,1944.5,1924.6
16/10/2023,1934.3,1941.3,1943.0,1921.2
13/10/2023,1941.5,1881.7,1946.2,1881.5
12/10/2023,1883.0,1888.1,1898.3,1880.6
11/10/2023,1887.3,1873.7,1890.9,1871.7
10/10/2023,1875.3,1875.4,1879.1,1866.1
09/10/2023,1864.3,1861.0,1877.3,1857.5
06/10/2023,1845.2,1834.3,1849.0,1823.5
05/10/2023,1831.8,1837.6,1843.5,1826.2
04/10/2023,1834.8,1838.7,1846.8,1831.6
03/10/2023,1841.5,1844.9,1849.3,1830.9
02/10/2023,1847.2,1864.4,1864.7,1842.7
29/09/2023,1866.1,1882.3,1896.7,1862.3
28/09/2023,1878.6,1893.3,1896.8,1874.5
27/09/2023,1890.9,1918.8,1921.7,1890.3
26/09/2023,1919.8,1935.1,1935.5,1917.2
25/09/2023,1936.6,1944.7,1946.8,1933.8
22/09/2023,1945.6,1939.6,1949.1,1939.6
21/09/2023,1939.6,1952.0,1952.2,1933.1
20/09/2023,1967.1,1953.0,1968.9,1948.6
19/09/2023,1953.7,1955.3,1958.9,1950.9
18/09/2023,1953.4,1945.7,1955.7,1943.8
15/09/2023,1946.2,1932.5,1952.4,1931.2
14/09/2023,1932.8,1930.7,1934.5,1921.7
13/09/2023,1932.5,1935.2,1938.4,1927.2
12/09/2023,1935.1,1945.6,1947.5,1929.9
11/09/2023,1947.2,1943.3,1954.6,1939.5
08/09/2023,1942.7,1943.8,1954.0,1940.8
07/09/2023,1942.5,1942.2,1947.9,1940.3
06/09/2023,1944.2,1951.5,1954.5,1940.0
05/09/2023,1952.6,1966.7,1972.6,1950.6
04/09/2023,1963.25,1966.6,1972.55,1962.55
03/09/2023,1966.65,1966.4,1967.05,1965.5
01/09/2023,1967.1,1966.4,1980.2,1960.7
31/08/2023,1965.9,1970.2,1974.9,1965.5
30/08/2023,1973.0,1966.0,1977.1,1962.8
29/08/2023,1965.1,1948.1,1966.5,1941.7
28/08/2023,1946.8,1944.0,1954.2,1940.1
25/08/2023,1939.9,1944.9,1950.4,1931.0
24/08/2023,1947.1,1944.9,1951.3,1939.2
23/08/2023,1948.1,1926.8,1949.7,1926.2
22/08/2023,1926.0,1924.0,1933.2,1917.5
21/08/2023,1923.0,1918.4,1927.9,1913.6
18/08/2023,1916.5,1919.2,1926.0,1915.9
17/08/2023,1915.2,1922.4,1933.5,1914.2
16/08/2023,1928.3,1933.1,1938.2,1922.0
15/08/2023,1935.2,1939.4,1944.3,1927.5
14/08/2023,1944.0,1945.6,1948.2,1934.2
11/08/2023,1946.6,1944.9,1953.6,1942.7
10/08/2023,1948.9,1947.7,1963.5,1944.4
09/08/2023,1950.6,1959.3,1966.1,1947.2
08/08/2023,1959.9,1971.5,1972.8,1956.5
07/08/2023,1970.0,1977.6,1981.7,1966.1
04/08/2023,1976.1,1969.6,1984.2,1954.5
03/08/2023,1968.8,1970.8,1974.5,1964.5
02/08/2023,1975.0,1988.9,1992.2,1969.1
01/08/2023,1978.8,2004.2,2004.4,1978.3
31/07/2023,2009.2,1997.9,2010.9,1986.7
