date,MSCI_EM_EFT
03/11/2023,38.46
02/11/2023,37.69
01/11/2023,37.04
31/10/2023,36.70
30/10/2023,36.91
27/10/2023,36.53
26/10/2023,36.56
25/10/2023,36.74
24/10/2023,37.23
23/10/2023,36.76
20/10/2023,36.79
19/10/2023,37.24
18/10/2023,37.46
17/10/2023,38.04
16/10/2023,38.14
13/10/2023,37.86
12/10/2023,38.00
11/10/2023,38.43
10/10/2023,38.19
09/10/2023,37.65
06/10/2023,37.83
05/10/2023,37.29
04/10/2023,37.15
03/10/2023,37.26
02/10/2023,37.76
29/09/2023,37.95
28/09/2023,37.92
27/09/2023,37.82
26/09/2023,37.76
25/09/2023,38.30
22/09/2023,38.47
21/09/2023,38.02
20/09/2023,38.69
19/09/2023,38.85
18/09/2023,39.08
15/09/2023,39.13
14/09/2023,39.28
13/09/2023,39.02
12/09/2023,39.07
11/09/2023,39.19
08/09/2023,38.71
07/09/2023,38.63
06/09/2023,39.09
05/09/2023,39.31
01/09/2023,39.63
31/08/2023,39.17
30/08/2023,39.66
29/08/2023,39.79
28/08/2023,39.29
25/08/2023,38.91
24/08/2023,38.87
23/08/2023,39.02
22/08/2023,38.41
21/08/2023,38.49
18/08/2023,38.40
17/08/2023,38.66
16/08/2023,38.57
15/08/2023,38.92
14/08/2023,39.37
11/08/2023,39.56
10/08/2023,40.15
09/08/2023,40.09
08/08/2023,39.99
07/08/2023,40.48
04/08/2023,40.54
03/08/2023,40.59
02/08/2023,40.43
01/08/2023,41.42
31/07/2023,41.95
28/07/2023,41.93
27/07/2023,40.94
26/07/2023,41.45
25/07/2023,41.21
24/07/2023,40.87
21/07/2023,40.32
20/07/2023,40.38
19/07/2023,40.68
18/07/2023,40.76
17/07/2023,41.06
14/07/2023,41.01
13/07/2023,41.24
12/07/2023,40.71
11/07/2023,39.82
10/07/2023,39.42
07/07/2023,39.39
06/07/2023,38.95
05/07/2023,39.76
03/07/2023,40.00
30/06/2023,39.56
29/06/2023,39.25
28/06/2023,39.46
27/06/2023,39.70
26/06/2023,39.30
23/06/2023,39.17
22/06/2023,39.75
21/06/2023,39.89
20/06/2023,40.08
16/06/2023,40.88
15/06/2023,41.02
14/06/2023,40.64
13/06/2023,40.34
12/06/2023,39.94
09/06/2023,39.86
08/06/2023,39.68
07/06/2023,39.40
06/06/2023,39.88
05/06/2023,39.53
02/06/2023,39.54
01/06/2023,38.87
31/05/2023,38.19
30/05/2023,38.55
26/05/2023,39.00
25/05/2023,38.32
24/05/2023,38.40
23/05/2023,38.69
22/05/2023,39.30
19/05/2023,38.98
18/05/2023,38.95
17/05/2023,39.16
16/05/2023,38.98
15/05/2023,39.26
12/05/2023,38.55
11/05/2023,39.01
10/05/2023,39.15
09/05/2023,39.17
08/05/2023,39.41
05/05/2023,39.39
04/05/2023,38.87
03/05/2023,38.56
02/05/2023,38.62
01/05/2023,39.00
28/04/2023,39.13
27/04/2023,38.93
26/04/2023,38.41
25/04/2023,38.19
24/04/2023,38.92
21/04/2023,39.01
20/04/2023,39.38
19/04/2023,39.44
18/04/2023,39.84
17/04/2023,39.89
14/04/2023,39.72
13/04/2023,39.93
12/04/2023,39.39
11/04/2023,39.67
10/04/2023,39.43
06/04/2023,39.39
05/04/2023,39.23
04/04/2023,39.54
03/04/2023,39.54
31/03/2023,39.46
30/03/2023,39.51
29/03/2023,39.12
28/03/2023,39.01
27/03/2023,38.46
24/03/2023,38.67
23/03/2023,38.77
22/03/2023,38.24
21/03/2023,38.09
20/03/2023,37.75
17/03/2023,37.61
16/03/2023,37.84
15/03/2023,37.27
14/03/2023,37.92
13/03/2023,37.90
10/03/2023,37.84
09/03/2023,38.04
08/03/2023,38.90
07/03/2023,38.74
06/03/2023,39.40
03/03/2023,39.54
02/03/2023,39.19
01/03/2023,39.05
28/02/2023,38.23
27/02/2023,38.50
24/02/2023,38.30
23/02/2023,39.18
22/02/2023,38.99
21/02/2023,39.18
17/02/2023,39.68
16/02/2023,40.12
15/02/2023,40.11
14/02/2023,40.45
13/02/2023,40.52
10/02/2023,40.19
09/02/2023,40.58
08/02/2023,40.39
07/02/2023,40.44
06/02/2023,40.28
03/02/2023,40.88
02/02/2023,41.62
01/02/2023,41.87
31/01/2023,41.36
30/01/2023,41.45
27/01/2023,42.30
26/01/2023,42.50
25/01/2023,42.10
24/01/2023,42.06
23/01/2023,42.03
20/01/2023,41.73
19/01/2023,41.10
18/01/2023,40.79
17/01/2023,41.07
13/01/2023,41.30
12/01/2023,41.03
11/01/2023,40.83
10/01/2023,40.66
09/01/2023,40.37
06/01/2023,40.07
05/01/2023,39.25
04/01/2023,39.37
03/01/2023,38.22
30/12/2022,37.90
29/12/2022,38.43
28/12/2022,37.80
27/12/2022,38.36
23/12/2022,37.80
22/12/2022,37.85
21/12/2022,38.19
20/12/2022,37.85
19/12/2022,37.86
16/12/2022,37.83
15/12/2022,37.72
14/12/2022,38.61
13/12/2022,38.59
12/12/2022,38.90
09/12/2022,39.02
08/12/2022,39.28
07/12/2022,38.81
06/12/2022,39.04
05/12/2022,39.09
02/12/2022,39.54
01/12/2022,39.39
30/11/2022,39.52
29/11/2022,38.41
28/11/2022,37.60
25/11/2022,37.77
23/11/2022,37.95
22/11/2022,37.64
21/11/2022,37.55
18/11/2022,38.03
17/11/2022,38.25
16/11/2022,38.18
15/11/2022,38.80
14/11/2022,37.93
11/11/2022,38.16
10/11/2022,37.15
