date,NLR_EFT
03/11/2023,71.36
02/11/2023,72.14
01/11/2023,70.98
31/10/2023,69.93
30/10/2023,68.35
27/10/2023,67.28
26/10/2023,68.63
25/10/2023,69.41
24/10/2023,69.47
23/10/2023,68.05
20/10/2023,67.97
19/10/2023,68.88
18/10/2023,68.22
17/10/2023,68.73
16/10/2023,67.90
13/10/2023,68.55
12/10/2023,68.08
11/10/2023,69.24
10/10/2023,69.71
09/10/2023,68.25
06/10/2023,68.99
05/10/2023,67.74
04/10/2023,66.79
03/10/2023,67.19
02/10/2023,68.33
29/09/2023,70.85
28/09/2023,72.39
27/09/2023,70.69
26/09/2023,71.11
25/09/2023,72.99
22/09/2023,71.37
21/09/2023,69.07
20/09/2023,70.23
19/09/2023,70.21
18/09/2023,71.05
15/09/2023,70.72
14/09/2023,70.19
13/09/2023,68.27
12/09/2023,66.76
11/09/2023,67.00
08/09/2023,66.00
07/09/2023,65.54
06/09/2023,65.54
05/09/2023,66.12
01/09/2023,65.22
31/08/2023,64.29
30/08/2023,64.86
29/08/2023,64.39
28/08/2023,64.20
25/08/2023,63.82
24/08/2023,62.92
23/08/2023,63.94
22/08/2023,63.28
21/08/2023,63.27
18/08/2023,61.68
17/08/2023,60.73
16/08/2023,61.12
15/08/2023,61.31
14/08/2023,62.38
11/08/2023,62.46
10/08/2023,61.70
09/08/2023,61.69
08/08/2023,61.56
07/08/2023,61.53
04/08/2023,60.80
03/08/2023,60.26
02/08/2023,60.25
01/08/2023,61.01
31/07/2023,61.38
28/07/2023,59.95
27/07/2023,59.35
26/07/2023,60.90
25/07/2023,61.29
24/07/2023,60.46
21/07/2023,60.31
20/07/2023,60.76
19/07/2023,60.74
18/07/2023,60.78
17/07/2023,60.34
14/07/2023,60.26
13/07/2023,61.48
12/07/2023,60.53
11/07/2023,59.77
10/07/2023,58.96
07/07/2023,58.69
06/07/2023,57.86
05/07/2023,59.15
03/07/2023,59.51
30/06/2023,59.40
29/06/2023,58.94
28/06/2023,58.76
27/06/2023,58.66
26/06/2023,58.15
23/06/2023,58.09
22/06/2023,59.02
21/06/2023,59.96
20/06/2023,60.15
16/06/2023,60.59
15/06/2023,60.23
14/06/2023,59.59
13/06/2023,60.12
12/06/2023,60.24
09/06/2023,58.98
08/06/2023,58.78
07/06/2023,58.00
06/06/2023,57.91
05/06/2023,58.48
02/06/2023,57.73
01/06/2023,56.95
31/05/2023,54.64
30/05/2023,53.64
26/05/2023,54.74
25/05/2023,54.87
24/05/2023,55.67
23/05/2023,56.34
22/05/2023,56.89
19/05/2023,55.82
18/05/2023,55.86
17/05/2023,56.45
16/05/2023,56.38
15/05/2023,57.46
12/05/2023,57.58
11/05/2023,57.50
10/05/2023,58.44
09/05/2023,58.20
08/05/2023,57.09
05/05/2023,57.00
04/05/2023,55.76
03/05/2023,55.30
02/05/2023,55.35
01/05/2023,56.03
28/04/2023,56.61
27/04/2023,55.62
26/04/2023,55.11
25/04/2023,54.86
24/04/2023,55.09
21/04/2023,55.23
20/04/2023,55.13
19/04/2023,55.33
18/04/2023,55.52
17/04/2023,55.99
14/04/2023,56.15
13/04/2023,56.65
12/04/2023,55.77
11/04/2023,55.58
10/04/2023,54.94
06/04/2023,54.73
05/04/2023,54.51
04/04/2023,54.87
03/04/2023,55.70
31/03/2023,55.56
30/03/2023,55.21
29/03/2023,54.33
28/03/2023,53.55
27/03/2023,52.81
24/03/2023,52.29
23/03/2023,52.49
22/03/2023,53.30
21/03/2023,54.19
20/03/2023,53.81
17/03/2023,53.54
16/03/2023,53.72
15/03/2023,53.10
14/03/2023,54.02
13/03/2023,53.83
10/03/2023,53.65
09/03/2023,54.36
08/03/2023,54.68
07/03/2023,54.55
06/03/2023,55.86
03/03/2023,56.64
