Date,Price
11/03/2023,"13,478.28"
11/02/2023,"13,294.19"
11/01/2023,"13,061.47"
10/31/2023,"12,851.24"
10/30/2023,"12,789.48"
10/27/2023,"12,643.01"
10/26/2023,"12,595.61"
10/25/2023,"12,821.22"
10/24/2023,"13,139.87"
10/23/2023,"13,018.33"
10/20/2023,"12,983.81"
10/19/2023,"13,186.18"
10/18/2023,"13,314.30"
10/17/2023,"13,533.75"
10/16/2023,"13,567.98"
10/13/2023,"13,407.23"
10/12/2023,"13,574.22"
10/11/2023,"13,659.68"
10/10/2023,"13,562.84"
10/09/2023,"13,484.24"
10/06/2023,"13,431.34"
10/05/2023,"13,219.83"
10/04/2023,"13,236.01"
10/03/2023,"13,059.47"
10/02/2023,"13,307.77"
09/29/2023,"13,219.32"
09/28/2023,"13,201.28"
09/27/2023,"13,092.85"
09/26/2023,"13,063.61"
09/25/2023,"13,271.32"
09/22/2023,"13,211.81"
09/21/2023,"13,223.98"
09/20/2023,"13,469.13"
09/19/2023,"13,678.19"
09/18/2023,"13,710.24"
09/15/2023,"13,708.33"
09/14/2023,"13,926.05"
09/13/2023,"13,813.59"
09/12/2023,"13,773.61"
09/11/2023,"13,917.89"
09/08/2023,"13,761.53"
09/07/2023,"13,748.83"
09/06/2023,"13,872.47"
09/05/2023,"14,020.95"
09/01/2023,"14,031.81"
08/31/2023,"14,034.97"
08/30/2023,"14,019.31"
08/29/2023,"13,943.76"
08/28/2023,"13,705.13"
08/25/2023,"13,590.65"
08/24/2023,"13,463.97"
08/23/2023,"13,721.03"
08/22/2023,"13,505.87"
08/21/2023,"13,497.59"
08/18/2023,"13,290.78"
08/17/2023,"13,316.93"
08/16/2023,"13,474.63"
08/15/2023,"13,631.05"
08/14/2023,"13,788.33"
08/11/2023,"13,644.85"
08/10/2023,"13,737.99"
08/09/2023,"13,722.02"
08/08/2023,"13,884.32"
08/07/2023,"13,994.40"
08/04/2023,"13,909.24"
08/03/2023,"13,959.72"
08/02/2023,"13,973.45"
08/01/2023,"14,283.91"
07/31/2023,"14,346.02"
07/28/2023,"14,316.66"
07/27/2023,"14,050.11"
07/26/2023,"14,127.28"
07/25/2023,"14,144.56"
07/24/2023,"14,058.87"
07/21/2023,"14,032.81"
07/20/2023,"14,063.31"
07/19/2023,"14,358.02"
07/18/2023,"14,353.64"
07/17/2023,"14,244.95"
07/14/2023,"14,113.70"
07/13/2023,"14,138.57"
07/12/2023,"13,918.96"
07/11/2023,"13,760.70"
07/10/2023,"13,685.48"
07/07/2023,"13,660.72"
07/06/2023,"13,679.04"
07/05/2023,"13,791.65"
07/03/2023,"13,816.77"
06/30/2023,"13,787.92"
06/29/2023,"13,591.33"
06/28/2023,"13,591.75"
06/27/2023,"13,555.67"
06/26/2023,"13,335.78"
06/23/2023,"13,492.52"
06/22/2023,"13,630.61"
06/21/2023,"13,502.20"
06/20/2023,"13,667.29"
06/16/2023,"13,689.57"
06/15/2023,"13,782.82"
06/14/2023,"13,626.48"
06/13/2023,"13,573.32"
06/12/2023,"13,461.92"
06/09/2023,"13,259.14"
06/08/2023,"13,238.52"
06/07/2023,"13,104.89"
06/06/2023,"13,276.42"
06/05/2023,"13,229.43"
06/02/2023,"13,240.77"
06/01/2023,"13,100.98"
05/31/2023,"12,935.29"
05/30/2023,"13,017.43"
05/26/2023,"12,975.69"
05/25/2023,"12,698.09"
05/24/2023,"12,484.16"
05/23/2023,"12,560.25"
05/22/2023,"12,720.78"
05/19/2023,"12,657.90"
05/18/2023,"12,688.84"
05/17/2023,"12,500.57"
05/16/2023,"12,343.05"
05/15/2023,"12,365.21"
05/12/2023,"12,284.74"
05/11/2023,"12,328.51"
05/10/2023,"12,306.44"
05/09/2023,"12,179.55"
05/08/2023,"12,256.92"
05/05/2023,"12,235.41"
05/04/2023,"11,966.40"
05/03/2023,"12,025.33"
05/02/2023,"12,080.51"
05/01/2023,"12,212.60"
04/28/2023,"12,226.58"
04/27/2023,"12,142.24"
04/26/2023,"11,854.35"
04/25/2023,"11,799.16"
04/24/2023,"12,037.20"
04/21/2023,"12,072.46"
04/20/2023,"12,059.56"
04/19/2023,"12,157.23"
04/18/2023,"12,153.41"
04/17/2023,"12,157.72"
04/14/2023,"12,123.47"
04/13/2023,"12,166.27"
04/12/2023,"11,929.34"
04/11/2023,"12,031.88"
04/10/2023,"12,084.36"
04/06/2023,"12,087.96"
04/05/2023,"11,996.86"
04/04/2023,"12,126.33"
04/03/2023,"12,189.45"
03/31/2023,"12,221.91"
03/30/2023,"12,013.47"
03/29/2023,"11,926.24"
03/28/2023,"11,716.08"
03/27/2023,"11,768.84"
03/24/2023,"11,823.96"
03/23/2023,"11,787.40"
03/22/2023,"11,669.96"
03/21/2023,"11,860.11"
03/20/2023,"11,675.54"
03/17/2023,"11,630.51"
03/16/2023,"11,717.28"
03/15/2023,"11,434.05"
03/14/2023,"11,428.15"
03/13/2023,"11,188.84"
03/10/2023,"11,138.89"
03/09/2023,"11,338.35"
03/08/2023,"11,576.00"
03/07/2023,"11,530.33"
03/06/2023,"11,675.74"
03/03/2023,"11,689.01"
03/02/2023,"11,462.98"
03/01/2023,"11,379.48"
02/28/2023,"11,455.54"
02/27/2023,"11,466.98"
02/24/2023,"11,394.94"
02/23/2023,"11,590.40"
02/22/2023,"11,507.07"
02/21/2023,"11,492.30"
02/17/2023,"11,787.27"
02/16/2023,"11,855.83"
02/15/2023,"12,070.59"
02/14/2023,"11,960.15"
02/13/2023,"11,891.79"
02/10/2023,"11,718.12"
02/09/2023,"11,789.58"
02/08/2023,"11,910.52"
02/07/2023,"12,113.79"
02/06/2023,"11,887.45"
02/03/2023,"12,006.95"
02/02/2023,"12,200.82"
02/01/2023,"11,816.32"
01/31/2023,"11,584.55"
01/30/2023,"11,393.81"
01/27/2023,"11,621.71"
