date,DXY
24/11/2023,103.4
22/11/2023,103.92
21/11/2023,103.57
20/11/2023,103.47
19/11/2023,NaN
17/11/2023,103.82
16/11/2023,104.37
15/11/2023,104.39
14/11/2023,104.11
13/11/2023,105.66
12/11/2023,NaN
10/11/2023,105.86
09/11/2023,105.91
08/11/2023,105.59
07/11/2023,105.54
06/11/2023,105.22
04/11/2023,NaN
02/11/2023,105.02
01/11/2023,106.12
31/10/2023,106.88
30/10/2023,106.66
29/10/2023,106.12
28/10/2023,NaN
26/10/2023,106.56
25/10/2023,106.6
24/10/2023,106.53
23/10/2023,106.27
22/10/2023,105.54
21/10/2023,NaN
19/10/2023,106.16
18/10/2023,106.25
17/10/2023,106.57
16/10/2023,106.25
15/10/2023,106.24
14/10/2023,NaN
12/10/2023,106.65
11/10/2023,106.57
10/10/2023,105.82
09/10/2023,105.83
08/10/2023,106.08
07/10/2023,NaN
05/10/2023,106.04
04/10/2023,106.33
03/10/2023,106.8
02/10/2023,107.0
01/10/2023,106.9
30/09/2023,NaN
28/09/2023,106.17
27/09/2023,106.22
26/09/2023,106.67
25/09/2023,106.23
24/09/2023,106.0
23/09/2023,NaN
21/09/2023,105.58
20/09/2023,105.36
19/09/2023,105.16
18/09/2023,105.2
17/09/2023,105.2
16/09/2023,NaN
14/09/2023,105.32
13/09/2023,105.41
12/09/2023,104.77
11/09/2023,104.71
10/09/2023,104.57
09/09/2023,NaN
07/09/2023,105.09
06/09/2023,105.06
05/09/2023,104.86
04/09/2023,104.81
02/09/2023,NaN
31/08/2023,104.24
30/08/2023,103.62
29/08/2023,103.16
28/08/2023,103.55
27/08/2023,104.06
26/08/2023,NaN
24/08/2023,104.08
23/08/2023,103.98
22/08/2023,103.36
21/08/2023,103.56
20/08/2023,103.33
19/08/2023,NaN
17/08/2023,103.38
16/08/2023,103.44
15/08/2023,103.42
14/08/2023,103.21
13/08/2023,103.19
12/08/2023,NaN
10/08/2023,102.84
09/08/2023,102.52
08/08/2023,102.49
