date,MSCI
24/11/2023,528.35
22/11/2023,523.97
21/11/2023,524.89
20/11/2023,522.21
17/11/2023,521.42
16/11/2023,524.27
15/11/2023,521.75
14/11/2023,518.05
13/11/2023,503.79
10/11/2023,514.26
09/11/2023,506.22
08/11/2023,504.98
07/11/2023,497.3
06/11/2023,496.56
03/11/2023,497.76
02/11/2023,487.02
01/11/2023,471.85
31/10/2023,471.55
30/10/2023,481.99
27/10/2023,476.19
26/10/2023,481.55
25/10/2023,479.63
24/10/2023,488.05
23/10/2023,487.59
20/10/2023,489.74
19/10/2023,497.27
18/10/2023,505.99
17/10/2023,515.8
16/10/2023,515.46
13/10/2023,510.56
12/10/2023,520.09
11/10/2023,523.17
10/10/2023,520.78
09/10/2023,515.37
06/10/2023,513.34
05/10/2023,498.13
04/10/2023,501.59
03/10/2023,495.46
02/10/2023,506.99
29/09/2023,513.08
28/09/2023,521.5
27/09/2023,511.94
26/09/2023,516.26
25/09/2023,516.9
22/09/2023,513.16
21/09/2023,515.42
20/09/2023,535.04
19/09/2023,538.05
18/09/2023,533.09
15/09/2023,530.08
14/09/2023,538.69
13/09/2023,535.25
12/09/2023,525.97
11/09/2023,536.16
08/09/2023,533.79
07/09/2023,546.49
06/09/2023,541.84
05/09/2023,541.16
01/09/2023,541.39
31/08/2023,543.62
30/08/2023,544.13
29/08/2023,538.61
28/08/2023,532.15
25/08/2023,531.15
24/08/2023,532.46
23/08/2023,535.85
22/08/2023,527.91
21/08/2023,524.74
18/08/2023,520.17
17/08/2023,520.75
16/08/2023,529.63
15/08/2023,533.82
14/08/2023,547.28
11/08/2023,548.99
10/08/2023,546.86
09/08/2023,546.2
08/08/2023,548.07
07/08/2023,551.5
04/08/2023,542.26
03/08/2023,543.78
02/08/2023,545.25
01/08/2023,545.94
31/07/2023,548.08
28/07/2023,550.28
27/07/2023,553.6
26/07/2023,557.25
25/07/2023,548.2
24/07/2023,502.75
21/07/2023,511.42
20/07/2023,509.66
19/07/2023,507.94
18/07/2023,502.83
17/07/2023,499.25
14/07/2023,497.18
13/07/2023,497.78
12/07/2023,497.75
11/07/2023,486.65
10/07/2023,480.63
07/07/2023,471.75
06/07/2023,469.46
05/07/2023,473.32
03/07/2023,472.82
30/06/2023,469.29
29/06/2023,462.07
28/06/2023,463.32
27/06/2023,465.08
26/06/2023,463.25
23/06/2023,465.15
22/06/2023,467.2
21/06/2023,474.65
20/06/2023,473.78
16/06/2023,477.73
15/06/2023,487.55
14/06/2023,486.2
13/06/2023,479.99
12/06/2023,474.18
09/06/2023,473.85
08/06/2023,480.87
07/06/2023,472.49
06/06/2023,477.24
05/06/2023,480.81
02/06/2023,478.76
01/06/2023,466.97
31/05/2023,470.53
30/05/2023,471.41
26/05/2023,475.83
25/05/2023,466.51
24/05/2023,457.19
23/05/2023,460.1
22/05/2023,472.42
19/05/2023,469.84
18/05/2023,472.25
17/05/2023,461.27
16/05/2023,456.98
15/05/2023,463.56
12/05/2023,469.63
11/05/2023,470.4
10/05/2023,476.07
09/05/2023,472.87
08/05/2023,472.88
05/05/2023,473.65
04/05/2023,461.55
03/05/2023,465.77
02/05/2023,468.49
01/05/2023,483.03
28/04/2023,482.45
27/04/2023,464.29
26/04/2023,458.22
25/04/2023,471.15
24/04/2023,544.61
21/04/2023,544.6
20/04/2023,546.58
19/04/2023,545.48
18/04/2023,544.46
17/04/2023,537.57
14/04/2023,540.03
13/04/2023,542.61
12/04/2023,530.83
11/04/2023,529.67
10/04/2023,528.44
06/04/2023,533.65
05/04/2023,538.37
04/04/2023,550.38
03/04/2023,557.37
31/03/2023,559.69
30/03/2023,548.72
29/03/2023,550.93
28/03/2023,542.9
27/03/2023,540.35
24/03/2023,543.1
23/03/2023,546.96
22/03/2023,547.18
21/03/2023,554.33
20/03/2023,544.33
17/03/2023,537.09
16/03/2023,546.57
15/03/2023,536.77
14/03/2023,548.25
13/03/2023,528.28
10/03/2023,522.27
09/03/2023,535.04
08/03/2023,535.85
07/03/2023,533.98
06/03/2023,542.91
03/03/2023,536.67
02/03/2023,517.29
01/03/2023,515.45
28/02/2023,522.15
27/02/2023,525.79
24/02/2023,518.16
23/02/2023,527.78
22/02/2023,524.05
21/02/2023,524.82
17/02/2023,544.83
16/02/2023,552.99
15/02/2023,567.06
14/02/2023,561.82
13/02/2023,562.1
10/02/2023,549.33
09/02/2023,555.59
08/02/2023,556.9
07/02/2023,560.4
06/02/2023,553.4
03/02/2023,567.43
02/02/2023,568.44
01/02/2023,554.52
31/01/2023,531.56
30/01/2023,506.56
27/01/2023,519.92
26/01/2023,515.21
25/01/2023,508.64
24/01/2023,519.84
23/01/2023,514.98
20/01/2023,511.76
19/01/2023,495.79
18/01/2023,506.34
17/01/2023,510.28
13/01/2023,505.24
12/01/2023,504.05
11/01/2023,504.12
10/01/2023,488.08
09/01/2023,480.54
06/01/2023,469.01
05/01/2023,459.12
04/01/2023,474.12
03/01/2023,461.16
30/12/2022,465.17
29/12/2022,471.92
28/12/2022,454.44
27/12/2022,460.43
23/12/2022,463.82
22/12/2022,462.32
21/12/2022,472.36
20/12/2022,458.0
19/12/2022,461.94
16/12/2022,471.59
15/12/2022,476.68
14/12/2022,498.48
13/12/2022,512.02
12/12/2022,497.27
09/12/2022,492.55
08/12/2022,499.98
07/12/2022,500.4
06/12/2022,499.9
05/12/2022,504.49
02/12/2022,518.83
01/12/2022,521.39
30/11/2022,507.83
29/11/2022,486.32
28/11/2022,495.96
25/11/2022,512.26
23/11/2022,508.75
22/11/2022,502.67
21/11/2022,493.37
18/11/2022,490.31
17/11/2022,491.09
16/11/2022,507.21
15/11/2022,503.02
14/11/2022,492.24
11/11/2022,512.37
10/11/2022,509.7
09/11/2022,465.13
08/11/2022,467.9
07/11/2022,462.19
04/11/2022,460.91
03/11/2022,451.15
02/11/2022,453.74
01/11/2022,470.08
31/10/2022,468.86
28/10/2022,474.27
27/10/2022,455.22
26/10/2022,451.6
25/10/2022,448.42
24/10/2022,412.15
