date,NASDAQ
24/11/2023,14250.85
22/11/2023,14265.86
21/11/2023,14199.98
20/11/2023,14284.53
17/11/2023,14125.48
16/11/2023,14113.67
15/11/2023,14103.84
14/11/2023,14094.38
13/11/2023,13767.74
10/11/2023,13798.11
09/11/2023,13521.45
08/11/2023,13650.41
07/11/2023,13639.86
06/11/2023,13518.78
03/11/2023,13478.28
02/11/2023,13294.19
01/11/2023,13061.47
31/10/2023,12851.24
30/10/2023,12789.48
27/10/2023,12643.01
26/10/2023,12595.61
25/10/2023,12821.22
24/10/2023,13139.87
23/10/2023,13018.33
20/10/2023,12983.81
19/10/2023,13186.18
18/10/2023,13314.3
17/10/2023,13533.75
16/10/2023,13567.98
13/10/2023,13407.23
12/10/2023,13574.22
11/10/2023,13659.68
10/10/2023,13562.84
09/10/2023,13484.24
06/10/2023,13431.34
05/10/2023,13219.83
04/10/2023,13236.01
03/10/2023,13059.47
02/10/2023,13307.77
29/09/2023,13219.32
28/09/2023,13201.28
27/09/2023,13092.85
26/09/2023,13063.61
25/09/2023,13271.32
22/09/2023,13211.81
21/09/2023,13223.98
20/09/2023,13469.13
19/09/2023,13678.19
18/09/2023,13710.24
15/09/2023,13708.33
14/09/2023,13926.05
13/09/2023,13813.59
12/09/2023,13773.61
11/09/2023,13917.89
08/09/2023,13761.53
07/09/2023,13748.83
06/09/2023,13872.47
05/09/2023,14020.95
01/09/2023,14031.81
31/08/2023,14034.97
30/08/2023,14019.31
29/08/2023,13943.76
28/08/2023,13705.13
25/08/2023,13590.65
24/08/2023,13463.97
23/08/2023,13721.03
22/08/2023,13505.87
21/08/2023,13497.59
18/08/2023,13290.78
17/08/2023,13316.93
16/08/2023,13474.63
15/08/2023,13631.05
14/08/2023,13788.33
11/08/2023,13644.85
10/08/2023,13737.99
09/08/2023,13722.02
08/08/2023,13884.32
07/08/2023,13994.4
04/08/2023,13909.24
03/08/2023,13959.72
02/08/2023,13973.45
01/08/2023,14283.91
31/07/2023,14346.02
28/07/2023,14316.66
27/07/2023,14050.11
26/07/2023,14127.28
25/07/2023,14144.56
24/07/2023,14058.87
21/07/2023,14032.81
20/07/2023,14063.31
19/07/2023,14358.02
18/07/2023,14353.64
17/07/2023,14244.95
14/07/2023,14113.7
13/07/2023,14138.57
12/07/2023,13918.96
11/07/2023,13760.7
