date,SP500
24/11/2023,4559.34
22/11/2023,4556.62
21/11/2023,4538.19
20/11/2023,4547.38
17/11/2023,4514.02
16/11/2023,4508.24
15/11/2023,4502.88
14/11/2023,4495.7
13/11/2023,4411.55
10/11/2023,4415.24
09/11/2023,4347.35
08/11/2023,4382.78
07/11/2023,4378.38
06/11/2023,4365.98
03/11/2023,4358.34
02/11/2023,4317.78
01/11/2023,4237.86
31/10/2023,4193.8
30/10/2023,4166.82
27/10/2023,4117.37
26/10/2023,4137.23
25/10/2023,4186.77
24/10/2023,4247.68
23/10/2023,4217.04
20/10/2023,4224.16
19/10/2023,4278.0
18/10/2023,4314.6
17/10/2023,4373.2
16/10/2023,4373.63
13/10/2023,4327.78
12/10/2023,4349.61
11/10/2023,4376.95
10/10/2023,4358.24
09/10/2023,4335.66
06/10/2023,4308.5
05/10/2023,4258.19
04/10/2023,4263.75
03/10/2023,4229.45
02/10/2023,4288.39
29/09/2023,4288.05
28/09/2023,4299.7
27/09/2023,4274.51
26/09/2023,4273.53
25/09/2023,4337.44
22/09/2023,4320.06
21/09/2023,4330.0
20/09/2023,4402.2
19/09/2023,4443.95
18/09/2023,4453.53
15/09/2023,4450.32
14/09/2023,4505.1
13/09/2023,4467.44
12/09/2023,4461.9
11/09/2023,4487.46
08/09/2023,4457.49
07/09/2023,4451.14
06/09/2023,4465.48
05/09/2023,4496.83
01/09/2023,4515.77
31/08/2023,4507.66
30/08/2023,4514.87
29/08/2023,4497.63
28/08/2023,4433.31
25/08/2023,4405.71
24/08/2023,4376.31
23/08/2023,4436.01
22/08/2023,4387.55
21/08/2023,4399.77
18/08/2023,4369.71
17/08/2023,4370.36
16/08/2023,4404.33
15/08/2023,4437.86
14/08/2023,4489.72
11/08/2023,4464.05
10/08/2023,4468.83
09/08/2023,4467.71
08/08/2023,4499.38
07/08/2023,4518.44
04/08/2023,4478.03
03/08/2023,4501.89
02/08/2023,4513.39
01/08/2023,4576.73
31/07/2023,4588.96
28/07/2023,4582.23
27/07/2023,4537.41
26/07/2023,4566.75
25/07/2023,4567.46
24/07/2023,4554.64
21/07/2023,4536.34
20/07/2023,4534.87
19/07/2023,4565.72
18/07/2023,4554.98
17/07/2023,4522.79
14/07/2023,4505.42
13/07/2023,4510.04
12/07/2023,4472.16
11/07/2023,4439.26
10/07/2023,4409.53
07/07/2023,4398.95
06/07/2023,4411.59
05/07/2023,4446.82
03/07/2023,4455.59
30/06/2023,4450.38
29/06/2023,4396.44
28/06/2023,4376.86
27/06/2023,4378.41
26/06/2023,4328.82
23/06/2023,4348.33
22/06/2023,4381.89
21/06/2023,4365.69
20/06/2023,4388.71
16/06/2023,4409.59
15/06/2023,4425.84
14/06/2023,4372.59
13/06/2023,4369.01
12/06/2023,4338.93
09/06/2023,4298.86
08/06/2023,4293.93
07/06/2023,4267.52
06/06/2023,4283.85
05/06/2023,4273.79
02/06/2023,4282.37
01/06/2023,4221.02
31/05/2023,4179.83
30/05/2023,4205.52
26/05/2023,4205.45
25/05/2023,4151.28
24/05/2023,4115.24
23/05/2023,4145.58
22/05/2023,4192.63
19/05/2023,4191.98
18/05/2023,4198.05
17/05/2023,4158.77
16/05/2023,4109.9
15/05/2023,4136.28
12/05/2023,4124.08
11/05/2023,4130.62
10/05/2023,4137.64
09/05/2023,4119.17
08/05/2023,4138.12
05/05/2023,4136.25
04/05/2023,4061.22
03/05/2023,4090.75
02/05/2023,4119.58
01/05/2023,4167.87
28/04/2023,4169.48
27/04/2023,4135.35
26/04/2023,4055.99
25/04/2023,4071.63
24/04/2023,4137.04
21/04/2023,4133.52
20/04/2023,4129.79
19/04/2023,4154.52
18/04/2023,4154.87
17/04/2023,4151.32
14/04/2023,4137.64
13/04/2023,4146.22
12/04/2023,4091.95
11/04/2023,4108.94
10/04/2023,4109.11
06/04/2023,4105.02
05/04/2023,4090.38
04/04/2023,4100.6
03/04/2023,4124.51
31/03/2023,4109.31
30/03/2023,4050.83
29/03/2023,4027.81
28/03/2023,3971.27
27/03/2023,3977.53
24/03/2023,3970.99
23/03/2023,3948.72
22/03/2023,3936.97
21/03/2023,4002.87
20/03/2023,3951.57
17/03/2023,3916.64
16/03/2023,3960.28
