date,VIX
24/11/2023,12.46
23/11/2023,NaN
22/11/2023,12.85
21/11/2023,13.35
20/11/2023,13.41
17/11/2023,13.8
16/11/2023,14.32
15/11/2023,14.18
14/11/2023,14.16
13/11/2023,14.76
10/11/2023,14.17
09/11/2023,15.29
08/11/2023,14.45
07/11/2023,14.81
06/11/2023,14.89
03/11/2023,14.91
02/11/2023,15.66
01/11/2023,16.87
31/10/2023,18.14
30/10/2023,19.75
27/10/2023,21.27
26/10/2023,20.68
25/10/2023,20.19
24/10/2023,18.97
23/10/2023,20.37
20/10/2023,21.71
19/10/2023,21.4
18/10/2023,19.22
17/10/2023,17.88
16/10/2023,17.21
13/10/2023,19.32
12/10/2023,16.69
11/10/2023,16.09
10/10/2023,17.03
09/10/2023,17.7
06/10/2023,17.45
05/10/2023,18.49
04/10/2023,18.58
03/10/2023,19.78
02/10/2023,17.61
29/09/2023,17.52
28/09/2023,17.34
27/09/2023,18.22
26/09/2023,18.94
25/09/2023,16.9
22/09/2023,17.2
21/09/2023,17.54
20/09/2023,15.14
19/09/2023,14.11
18/09/2023,14.0
15/09/2023,13.79
14/09/2023,12.82
13/09/2023,13.48
12/09/2023,14.23
11/09/2023,13.8
08/09/2023,13.84
07/09/2023,14.4
06/09/2023,14.45
05/09/2023,14.01
04/09/2023,NaN
01/09/2023,13.09
31/08/2023,13.57
30/08/2023,13.88
29/08/2023,14.45
28/08/2023,15.08
25/08/2023,15.68
24/08/2023,17.2
23/08/2023,15.98
22/08/2023,16.97
21/08/2023,17.13
18/08/2023,17.3
17/08/2023,17.89
16/08/2023,16.78
15/08/2023,16.46
14/08/2023,14.82
11/08/2023,14.84
10/08/2023,15.85
09/08/2023,15.96
08/08/2023,15.99
07/08/2023,15.77
04/08/2023,17.1
03/08/2023,15.92
02/08/2023,16.09
01/08/2023,13.93
31/07/2023,13.63
28/07/2023,13.33
27/07/2023,14.41
26/07/2023,13.19
25/07/2023,13.86
24/07/2023,13.91
21/07/2023,13.6
20/07/2023,13.99
19/07/2023,13.76
18/07/2023,13.3
17/07/2023,13.48
14/07/2023,13.34
13/07/2023,13.61
12/07/2023,13.54
11/07/2023,14.84
10/07/2023,15.07
07/07/2023,14.83
06/07/2023,15.44
05/07/2023,14.18
04/07/2023,NaN
03/07/2023,13.57
30/06/2023,13.59
29/06/2023,13.54
28/06/2023,13.43
27/06/2023,13.74
26/06/2023,14.25
23/06/2023,13.44
22/06/2023,12.91
21/06/2023,13.2
20/06/2023,13.88
19/06/2023,NaN
16/06/2023,13.54
15/06/2023,14.5
14/06/2023,13.88
13/06/2023,14.61
12/06/2023,15.01
09/06/2023,13.83
08/06/2023,13.65
07/06/2023,13.94
06/06/2023,13.96
05/06/2023,14.73
02/06/2023,14.6
01/06/2023,15.65
