,date,FED
0,01/11/2023,5.5
1,20/09/2023,5.5
2,26/07/2023,5.5
3,14/06/2023,5.25
4,03/05/2023,5.25
5,22/03/2023,5.0
6,01/02/2023,4.75
7,14/12/2022,4.5
8,02/11/2022,4.0
9,21/09/2022,3.25
10,27/07/2022,2.5
11,15/06/2022,1.75
12,04/05/2022,1.0
13,16/03/2022,0.5
14,26/01/2022,0.25
15,15/12/2021,0.25
16,03/11/2021,0.25
17,22/09/2021,0.25
18,28/07/2021,0.25
19,16/06/2021,0.25
20,28/04/2021,0.25
21,17/03/2021,0.25
22,27/01/2021,0.25
23,16/12/2020,0.25
24,05/11/2020,0.25
25,16/09/2020,0.25
26,29/07/2020,0.25
27,10/06/2020,0.25
28,29/04/2020,0.25
29,15/03/2020,0.25
30,03/03/2020,1.25
31,29/01/2020,1.75
32,11/12/2019,1.75
33,30/10/2019,1.75
34,18/09/2019,2.0
35,31/07/2019,2.25
36,19/06/2019,2.5
37,01/05/2019,2.5
38,20/03/2019,2.5
39,30/01/2019,2.5
40,19/12/2018,2.5
41,08/11/2018,2.25
42,26/09/2018,2.25
43,01/08/2018,2.0
44,13/06/2018,2.0
45,02/05/2018,1.75
46,21/03/2018,1.75
47,31/01/2018,1.5
48,13/12/2017,1.5
49,01/11/2017,1.25
50,20/09/2017,1.25
51,26/07/2017,1.25
52,14/06/2017,1.25
53,03/05/2017,1.0
54,15/03/2017,1.0
55,01/02/2017,0.75
56,14/12/2016,0.75
57,02/11/2016,0.5
58,21/09/2016,0.5
59,27/07/2016,0.5
60,15/06/2016,0.5
61,27/04/2016,0.5
62,16/03/2016,0.5
63,27/01/2016,0.5
64,16/12/2015,0.5
65,28/10/2015,0.25
66,17/09/2015,0.25
67,29/07/2015,0.25
68,17/06/2015,0.25
69,29/04/2015,0.25
70,18/03/2015,0.25
71,28/01/2015,0.25
72,17/12/2014,0.25
73,29/10/2014,0.25
74,17/09/2014,0.25
75,30/07/2014,0.25
76,18/06/2014,0.25
77,30/04/2014,0.25
78,19/03/2014,0.25
79,29/01/2014,0.25
80,18/12/2013,0.25
81,30/10/2013,0.25
82,18/09/2013,0.25
83,31/07/2013,0.25
84,19/06/2013,0.25
85,01/05/2013,0.25
86,20/03/2013,0.25
87,30/01/2013,0.25
88,12/12/2012,0.25
89,24/10/2012,0.25
90,13/09/2012,0.25
91,01/08/2012,0.25
92,20/06/2012,0.25
93,25/04/2012,0.25
94,13/03/2012,0.25
95,25/01/2012,0.25
96,13/12/2011,0.25
97,02/11/2011,0.25
98,21/09/2011,0.25
99,09/08/2011,0.25
100,22/06/2011,0.25
101,27/04/2011,0.25
102,15/03/2011,0.25
103,26/01/2011,0.25
104,14/12/2010,0.25
105,03/11/2010,0.25
106,21/09/2010,0.25
107,10/08/2010,0.25
108,23/06/2010,0.25
109,28/04/2010,0.25
110,16/03/2010,0.25
111,27/01/2010,0.25
112,16/12/2009,0.25
