,date,Open,High,Low,Close
0,24/11/2023,1991.2,2004.5,1990.9,2003.0
1,22/11/2023,1999.1,1999.4,1991.0,1991.4
2,21/11/2023,1990.7,2005.5,1988.5,1999.3
3,20/11/2023,1978.7,1979.4,1969.7,1977.7
4,17/11/2023,1982.5,1984.0,1979.8,1981.6
5,16/11/2023,1965.3,1983.9,1964.6,1983.9
6,15/11/2023,1962.8,1962.8,1960.0,1960.1
7,14/11/2023,1965.8,1965.8,1961.8,1961.8
8,13/11/2023,1939.9,1947.2,1934.0,1945.5
9,10/11/2023,1959.6,1959.6,1932.6,1932.6
10,09/11/2023,1951.7,1964.2,1945.3,1964.2
11,08/11/2023,1967.8,1967.8,1947.7,1951.5
12,07/11/2023,1966.5,1966.8,1960.7,1966.8
13,06/11/2023,1981.6,1981.6,1977.4,1981.6
14,02/11/2023,1989.0,1991.5,1989.0,1991.5
15,01/11/2023,1989.1,1990.3,1979.5,1985.6
16,31/10/2023,1990.5,1990.5,1977.8,1978.8
17,30/10/2023,1996.5,2001.0,1983.7,1985.2
18,29/10/2023,2004.1,2004.1,1992.5,1996.2
19,26/10/2023,1988.6,1988.6,1988.6,1988.6
20,25/10/2023,1988.2,1988.2,1980.4,1987.2
21,24/10/2023,1971.2,1985.3,1971.2,1984.1
22,23/10/2023,1970.3,1975.0,1970.3,1975.0
23,22/10/2023,1976.2,1978.9,1972.9,1976.3
24,19/10/2023,1981.1,1988.6,1980.4,1982.5
25,18/10/2023,1950.1,1977.7,1945.7,1968.4
26,17/10/2023,1935.0,1957.9,1935.0,1955.3
27,16/10/2023,1914.3,1925.8,1914.3,1922.7
28,15/10/2023,1910.4,1921.1,1910.3,1921.1
29,12/10/2023,1877.5,1930.1,1877.5,1927.4
30,11/10/2023,1874.7,1881.2,1867.0,1869.3
31,10/10/2023,1869.5,1874.6,1869.1,1872.8
32,09/10/2023,1857.0,1861.4,1852.8,1861.0
33,08/10/2023,1842.5,1861.5,1842.5,1849.5
34,05/10/2023,1819.0,1831.8,1809.4,1830.2
35,04/10/2023,1826.3,1826.3,1815.6,1816.6
36,03/10/2023,1821.8,1828.2,1816.4,1818.5
37,02/10/2023,1825.0,1830.9,1816.8,1824.6
38,01/10/2023,1844.1,1845.9,1826.7,1830.0
39,28/09/2023,1864.3,1872.3,1846.0,1848.1
40,27/09/2023,1875.5,1878.2,1856.7,1860.4
41,26/09/2023,1871.6,1871.6,1871.6,1871.6
42,25/09/2023,1905.0,1905.1,1900.4,1900.4
43,24/09/2023,1916.6,1916.6,1916.6,1916.6
44,21/09/2023,1925.4,1925.4,1925.4,1925.4
45,20/09/2023,1924.0,1924.0,1919.2,1919.2
46,19/09/2023,1945.6,1945.6,1929.2,1945.6
47,18/09/2023,1934.0,1934.0,1932.0,1932.0
48,17/09/2023,1928.2,1931.5,1926.4,1931.5
49,14/09/2023,1923.5,1927.3,1923.5,1923.7
50,13/09/2023,1903.0,1910.0,1903.0,1910.0
51,12/09/2023,1910.3,1914.6,1908.9,1909.1
52,11/09/2023,1920.8,1920.8,1911.3,1911.3
53,10/09/2023,1923.0,1928.3,1921.8,1923.3
54,07/09/2023,1924.0,1924.7,1918.4,1918.4
55,06/09/2023,1917.6,1921.5,1917.5,1917.5
56,05/09/2023,1924.1,1925.3,1916.3,1918.1
