Date,Price
11/03/2023,23.285
11/02/2023,22.846
11/01/2023,22.790
10/31/2023,22.952
10/30/2023,23.396
10/27/2023,22.887
10/26/2023,22.908
10/25/2023,23.007
10/24/2023,23.116
10/23/2023,23.210
10/20/2023,23.504
10/19/2023,23.031
10/18/2023,23.099
10/17/2023,23.024
10/16/2023,22.765
10/13/2023,22.895
10/12/2023,21.959
10/11/2023,22.133
10/10/2023,21.953
10/09/2023,21.924
10/06/2023,21.723
10/05/2023,21.019
10/04/2023,21.146
10/03/2023,21.377
10/02/2023,21.421
09/29/2023,22.450
09/28/2023,22.741
09/27/2023,22.724
09/26/2023,23.196
09/25/2023,23.385
09/22/2023,23.844
09/21/2023,23.687
09/20/2023,23.836
09/19/2023,23.456
09/18/2023,23.498
09/15/2023,23.386
09/14/2023,22.994
09/13/2023,23.181
09/12/2023,23.402
09/11/2023,23.383
09/08/2023,23.174
09/07/2023,23.240
09/06/2023,23.503
09/05/2023,23.873
09/01/2023,24.562
08/31/2023,24.812
08/30/2023,24.734
08/29/2023,24.788
08/28/2023,24.252
08/25/2023,24.234
08/24/2023,24.230
08/23/2023,24.392
08/22/2023,23.450
08/21/2023,23.340
08/18/2023,22.733
08/17/2023,22.715
08/16/2023,22.535
08/15/2023,22.656
08/14/2023,22.708
08/11/2023,22.743
08/10/2023,22.821
08/09/2023,22.731
08/08/2023,22.807
08/07/2023,23.232
08/04/2023,23.716
08/03/2023,23.697
08/02/2023,23.872
08/01/2023,24.326
07/31/2023,24.972
07/28/2023,24.495
07/27/2023,24.367
07/26/2023,24.970
07/25/2023,24.824
07/24/2023,24.581
07/21/2023,24.855
07/20/2023,24.962
07/19/2023,25.387
07/18/2023,25.256
07/17/2023,25.018
07/14/2023,25.194
07/13/2023,24.949
07/12/2023,24.310
07/11/2023,23.281
07/10/2023,23.345
07/07/2023,23.289
07/06/2023,22.890
07/05/2023,23.402
07/03/2023,23.112
06/30/2023,23.020
06/29/2023,22.798
06/28/2023,22.889
06/27/2023,22.960
06/26/2023,22.826
06/23/2023,22.354
06/22/2023,22.467
06/21/2023,22.810
06/20/2023,23.234
06/16/2023,24.126
06/15/2023,23.947
06/14/2023,24.105
06/13/2023,23.822
06/12/2023,24.059
06/09/2023,24.410
06/08/2023,24.348
06/07/2023,23.529
06/06/2023,23.670
06/05/2023,23.635
06/02/2023,23.747
06/01/2023,23.987
05/31/2023,23.587
05/30/2023,23.239
05/26/2023,23.360
05/25/2023,22.910
05/24/2023,23.240
05/23/2023,23.624
05/22/2023,23.861
05/19/2023,24.060
05/18/2023,23.633
05/17/2023,23.897
05/16/2023,23.893
05/15/2023,24.291
05/12/2023,24.154
05/11/2023,24.424
05/10/2023,25.658
05/09/2023,25.898
05/08/2023,25.834
05/05/2023,25.930
05/04/2023,26.227
05/03/2023,25.681
05/02/2023,25.619
05/01/2023,25.230
04/28/2023,25.226
04/27/2023,24.983
04/26/2023,24.876
04/25/2023,24.882
04/24/2023,25.311
04/21/2023,25.058
04/20/2023,25.373
04/19/2023,25.371
04/18/2023,25.263
04/17/2023,25.088
04/14/2023,25.460
04/13/2023,25.925
04/12/2023,25.458
04/11/2023,25.186
04/10/2023,24.912
04/06/2023,25.093
04/05/2023,25.037
04/04/2023,25.101
04/03/2023,24.021
03/31/2023,24.156
03/30/2023,23.989
03/29/2023,23.466
03/28/2023,23.420
03/27/2023,23.145
03/24/2023,23.339
03/23/2023,23.256
03/22/2023,22.786
03/21/2023,22.425
03/20/2023,22.646
03/17/2023,22.462
03/16/2023,21.692
03/15/2023,21.882
03/14/2023,22.040
03/13/2023,21.923
03/10/2023,20.506
03/09/2023,20.165
03/08/2023,20.151
03/07/2023,20.199
03/06/2023,21.135
03/03/2023,21.238
03/02/2023,20.901
03/01/2023,21.095
02/28/2023,21.071
02/27/2023,20.793
02/24/2023,20.810
02/23/2023,21.306
02/22/2023,21.677
02/21/2023,21.890
02/17/2023,21.715
02/16/2023,21.710
02/15/2023,21.572
02/14/2023,21.873
02/13/2023,21.852
02/10/2023,22.075
02/09/2023,22.143
02/08/2023,22.420
02/07/2023,22.177
02/06/2023,22.237
02/03/2023,22.405
02/02/2023,23.615
02/01/2023,23.609
01/31/2023,23.836
01/30/2023,23.733
01/27/2023,23.622
01/26/2023,24.020
01/25/2023,23.941
01/24/2023,23.749
01/23/2023,23.554
01/20/2023,23.935
01/19/2023,23.870
01/18/2023,23.647
01/17/2023,24.068
01/13/2023,24.372
01/12/2023,24.004
01/11/2023,23.481
01/10/2023,23.665
01/09/2023,23.871
01/06/2023,23.982
01/05/2023,23.424
01/04/2023,23.964
01/03/2023,24.236
12/30/2022,24.040
12/29/2022,24.250
12/28/2022,23.840
12/27/2022,24.217
12/23/2022,23.920
12/22/2022,23.622
12/21/2022,24.194
12/20/2022,24.271
12/19/2022,23.199
12/16/2022,23.328
12/15/2022,23.305
12/14/2022,24.136
12/13/2022,23.990
12/12/2022,23.403
12/09/2022,23.717
12/08/2022,23.246
12/07/2022,22.922
12/06/2022,22.335
12/05/2022,22.417
12/02/2022,23.250
12/01/2022,22.841
11/30/2022,21.781
11/29/2022,21.436
11/28/2022,20.915
11/25/2022,21.430
11/23/2022,21.367
11/22/2022,21.049
11/21/2022,20.872
11/18/2022,20.997
11/17/2022,20.975
11/16/2022,21.524
11/15/2022,21.518
11/14/2022,22.113
11/11/2022,21.667
11/10/2022,21.702
11/09/2022,21.327
11/08/2022,21.502
11/07/2022,20.919
11/04/2022,20.784
11/03/2022,19.430
11/02/2022,19.594
11/01/2022,19.667
10/31/2022,19.119
10/28/2022,19.147
10/27/2022,19.494
10/26/2022,19.486
10/25/2022,19.349
10/24/2022,19.189
10/21/2022,19.066
10/20/2022,18.689
10/19/2022,18.359
