date,price
11/03/2023,13478.28
11/02/2023,13294.19
11/01/2023,13061.47
10/31/2023,12851.24
10/30/2023,12789.48
10/27/2023,12643.01
10/26/2023,12595.61
10/25/2023,12821.22
10/24/2023,13139.87
10/23/2023,13018.33
10/20/2023,12983.81
10/19/2023,13186.18
10/18/2023,13314.3
10/17/2023,13533.75
10/16/2023,13567.98
10/13/2023,13407.23
10/12/2023,13574.22
10/11/2023,13659.68
10/10/2023,13562.84
10/09/2023,13484.24
10/06/2023,13431.34
10/05/2023,13219.83
10/04/2023,13236.01
10/03/2023,13059.47
10/02/2023,13307.77
09/29/2023,13219.32
09/28/2023,13201.28
09/27/2023,13092.85
09/26/2023,13063.61
09/25/2023,13271.32
09/22/2023,13211.81
09/21/2023,13223.98
09/20/2023,13469.13
09/19/2023,13678.19
09/18/2023,13710.24
09/15/2023,13708.33
09/14/2023,13926.05
09/13/2023,13813.59
09/12/2023,13773.61
09/11/2023,13917.89
09/08/2023,13761.53
09/07/2023,13748.83
09/06/2023,13872.47
09/05/2023,14020.95
09/01/2023,14031.81
08/31/2023,14034.97
08/30/2023,14019.31
08/29/2023,13943.76
08/28/2023,13705.13
08/25/2023,13590.65
08/24/2023,13463.97
08/23/2023,13721.03
08/22/2023,13505.87
08/21/2023,13497.59
08/18/2023,13290.78
08/17/2023,13316.93
08/16/2023,13474.63
08/15/2023,13631.05
08/14/2023,13788.33
08/11/2023,13644.85
08/10/2023,13737.99
08/09/2023,13722.02
08/08/2023,13884.32
08/07/2023,13994.4
08/04/2023,13909.24
08/03/2023,13959.72
08/02/2023,13973.45
08/01/2023,14283.91
07/31/2023,14346.02
07/28/2023,14316.66
07/27/2023,14050.11
07/26/2023,14127.28
07/25/2023,14144.56
07/24/2023,14058.87
07/21/2023,14032.81
07/20/2023,14063.31
07/19/2023,14358.02
07/18/2023,14353.64
07/17/2023,14244.95
07/14/2023,14113.7
07/13/2023,14138.57
07/12/2023,13918.96
07/11/2023,13760.7
07/10/2023,13685.48
07/07/2023,13660.72
07/06/2023,13679.04
07/05/2023,13791.65
07/03/2023,13816.77
06/30/2023,13787.92
06/29/2023,13591.33
06/28/2023,13591.75
06/27/2023,13555.67
06/26/2023,13335.78
06/23/2023,13492.52
06/22/2023,13630.61
06/21/2023,13502.2
06/20/2023,13667.29
06/16/2023,13689.57
06/15/2023,13782.82
06/14/2023,13626.48
06/13/2023,13573.32
06/12/2023,13461.92
06/09/2023,13259.14
06/08/2023,13238.52
06/07/2023,13104.89
06/06/2023,13276.42
06/05/2023,13229.43
06/02/2023,13240.77
06/01/2023,13100.98
05/31/2023,12935.29
05/30/2023,13017.43
05/26/2023,12975.69
05/25/2023,12698.09
05/24/2023,12484.16
05/23/2023,12560.25
05/22/2023,12720.78
05/19/2023,12657.9
05/18/2023,12688.84
05/17/2023,12500.57
05/16/2023,12343.05
05/15/2023,12365.21
05/12/2023,12284.74
05/11/2023,12328.51
05/10/2023,12306.44
05/09/2023,12179.55
05/08/2023,12256.92
05/05/2023,12235.41
05/04/2023,11966.4
05/03/2023,12025.33
05/02/2023,12080.51
05/01/2023,12212.6
04/28/2023,12226.58
04/27/2023,12142.24
04/26/2023,11854.35
04/25/2023,11799.16
04/24/2023,12037.2
04/21/2023,12072.46
04/20/2023,12059.56
04/19/2023,12157.23
04/18/2023,12153.41
04/17/2023,12157.72
04/14/2023,12123.47
04/13/2023,12166.27
04/12/2023,11929.34
04/11/2023,12031.88
04/10/2023,12084.36
04/06/2023,12087.96
04/05/2023,11996.86
04/04/2023,12126.33
04/03/2023,12189.45
03/31/2023,12221.91
03/30/2023,12013.47
03/29/2023,11926.24
03/28/2023,11716.08
03/27/2023,11768.84
03/24/2023,11823.96
03/23/2023,11787.4
03/22/2023,11669.96
03/21/2023,11860.11
03/20/2023,11675.54
03/17/2023,11630.51
03/16/2023,11717.28
03/15/2023,11434.05
03/14/2023,11428.15
03/13/2023,11188.84
03/10/2023,11138.89
03/09/2023,11338.35
03/08/2023,11576.0
03/07/2023,11530.33
03/06/2023,11675.74
03/03/2023,11689.01
03/02/2023,11462.98
03/01/2023,11379.48
02/28/2023,11455.54
02/27/2023,11466.98
02/24/2023,11394.94
02/23/2023,11590.4
02/22/2023,11507.07
02/21/2023,11492.3
02/17/2023,11787.27
02/16/2023,11855.83
02/15/2023,12070.59
02/14/2023,11960.15
02/13/2023,11891.79
02/10/2023,11718.12
02/09/2023,11789.58
02/08/2023,11910.52
02/07/2023,12113.79
02/06/2023,11887.45
02/03/2023,12006.95
02/02/2023,12200.82
02/01/2023,11816.32
01/31/2023,11584.55
01/30/2023,11393.81
01/27/2023,11621.71
01/26/2023,11512.41
01/25/2023,11313.36
01/24/2023,11334.27
01/23/2023,11364.41
01/20/2023,11140.43
01/19/2023,10852.27
01/18/2023,10957.01
01/17/2023,11095.11
01/13/2023,11079.16
01/12/2023,11001.1
01/11/2023,10931.67
01/10/2023,10742.63
01/09/2023,10635.65
01/06/2023,10569.29
01/05/2023,10305.24
01/04/2023,10458.76
01/03/2023,10386.98
12/30/2022,10466.48
12/29/2022,10478.09
12/28/2022,10213.29
12/27/2022,10353.23
12/23/2022,10497.86
12/22/2022,10476.12
12/21/2022,10709.37
12/20/2022,10547.11
12/19/2022,10546.03
12/16/2022,10705.41
12/15/2022,10810.53
12/14/2022,11170.89
12/13/2022,11256.81
12/12/2022,11143.74
12/09/2022,11004.62
12/08/2022,11082.0
12/07/2022,10958.55
12/06/2022,11014.89
12/05/2022,11239.94
12/02/2022,11461.5
12/01/2022,11482.45
11/30/2022,11468.0
11/29/2022,10983.78
11/28/2022,11049.5
11/25/2022,11226.36
11/23/2022,11285.32
11/22/2022,11174.41
11/21/2022,11024.51
11/18/2022,11146.06
11/17/2022,11144.96
11/16/2022,11183.66
11/15/2022,11358.41
