date,price
11/03/2023,1760.71
11/02/2023,1714.21
11/01/2023,1669.7
10/31/2023,1662.28
10/30/2023,1647.29
10/27/2023,1636.94
10/26/2023,1657.0
10/25/2023,1651.43
10/24/2023,1679.5
10/23/2023,1665.89
10/20/2023,1680.79
10/19/2023,1702.7
10/18/2023,1728.81
10/17/2023,1766.05
10/16/2023,1747.06
10/13/2023,1719.71
10/12/2023,1734.25
10/11/2023,1773.3
10/10/2023,1775.95
10/09/2023,1755.99
10/06/2023,1745.56
10/05/2023,1731.51
10/04/2023,1729.01
10/03/2023,1727.15
10/02/2023,1756.82
09/29/2023,1785.1
09/28/2023,1794.31
09/27/2023,1778.9
09/26/2023,1761.61
09/25/2023,1784.24
09/22/2023,1776.5
09/21/2023,1781.83
09/20/2023,1810.1
09/19/2023,1826.53
09/18/2023,1834.3
09/15/2023,1847.03
09/14/2023,1866.63
09/13/2023,1840.84
09/12/2023,1855.32
09/11/2023,1855.14
09/08/2023,1851.55
09/07/2023,1855.76
09/06/2023,1874.28
09/05/2023,1880.45
09/01/2023,1920.83
08/31/2023,1899.68
08/30/2023,1903.21
08/29/2023,1895.54
08/28/2023,1869.01
08/25/2023,1853.63
08/24/2023,1846.28
08/23/2023,1870.03
08/22/2023,1850.84
08/21/2023,1856.01
08/18/2023,1859.42
08/17/2023,1850.06
08/16/2023,1871.52
08/15/2023,1895.76
08/14/2023,1920.49
08/11/2023,1925.11
08/10/2023,1922.62
08/09/2023,1930.77
08/08/2023,1947.42
08/07/2023,1958.94
08/04/2023,1957.46
08/03/2023,1961.4
08/02/2023,1966.83
08/01/2023,1994.17
07/31/2023,2003.18
07/28/2023,1981.54
07/27/2023,1954.9
07/26/2023,1980.36
07/25/2023,1966.11
07/24/2023,1965.68
07/21/2023,1960.26
07/20/2023,1967.16
07/19/2023,1984.89
07/18/2023,1976.07
07/17/2023,1951.27
07/14/2023,1931.09
07/13/2023,1950.89
07/12/2023,1933.38
07/11/2023,1913.36
07/10/2023,1895.25
07/07/2023,1864.66
07/06/2023,1842.23
07/05/2023,1872.91
07/03/2023,1896.78
06/30/2023,1888.73
06/29/2023,1881.59
06/28/2023,1858.71
06/27/2023,1849.93
06/26/2023,1823.26
06/23/2023,1821.64
06/22/2023,1848.18
06/21/2023,1863.02
06/20/2023,1866.7
06/16/2023,1875.47
06/15/2023,1889.28
06/14/2023,1874.1
06/13/2023,1896.33
06/12/2023,1873.21
06/09/2023,1865.71
06/08/2023,1880.78
06/07/2023,1888.45
06/06/2023,1855.4
06/05/2023,1806.71
06/02/2023,1830.91
06/01/2023,1767.94
05/31/2023,1749.65
05/30/2023,1767.29
05/26/2023,1773.02
05/25/2023,1754.61
05/24/2023,1767.0
05/23/2023,1787.72
05/22/2023,1795.38
05/19/2023,1773.72
05/18/2023,1784.86
05/17/2023,1774.5
05/16/2023,1736.18
05/15/2023,1761.55
05/12/2023,1740.85
05/11/2023,1744.71
05/10/2023,1759.51
05/09/2023,1749.68
05/08/2023,1754.47
05/05/2023,1759.88
05/04/2023,1718.81
05/03/2023,1739.28
05/02/2023,1732.11
05/01/2023,1769.21
04/28/2023,1768.99
04/27/2023,1751.22
04/26/2023,1730.41
04/25/2023,1745.95
04/24/2023,1788.87
04/21/2023,1791.51
04/20/2023,1789.7
04/19/2023,1799.44
04/18/2023,1795.55
04/17/2023,1802.84
04/14/2023,1781.15
04/13/2023,1796.68
04/12/2023,1773.7
04/11/2023,1786.6
04/10/2023,1772.44
04/06/2023,1754.46
04/05/2023,1752.13
04/04/2023,1769.66
04/03/2023,1802.31
03/31/2023,1802.48
03/30/2023,1768.38
03/29/2023,1771.6
03/28/2023,1752.63
03/27/2023,1753.67
03/24/2023,1734.92
03/23/2023,1720.29
03/22/2023,1727.36
