Date,price
11/03/2023,4358.34
11/02/2023,4317.78
11/01/2023,4237.86
10/31/2023,4193.8
10/30/2023,4166.82
10/27/2023,4117.37
10/26/2023,4137.23
10/25/2023,4186.77
10/24/2023,4247.68
10/23/2023,4217.04
10/20/2023,4224.16
10/19/2023,4278.0
10/18/2023,4314.6
10/17/2023,4373.2
10/16/2023,4373.63
10/13/2023,4327.78
10/12/2023,4349.61
10/11/2023,4376.95
10/10/2023,4358.24
10/09/2023,4335.66
10/06/2023,4308.5
10/05/2023,4258.19
10/04/2023,4263.75
10/03/2023,4229.45
10/02/2023,4288.39
09/29/2023,4288.05
09/28/2023,4299.7
09/27/2023,4274.51
09/26/2023,4273.53
09/25/2023,4337.44
09/22/2023,4320.06
09/21/2023,4330.0
09/20/2023,4402.2
09/19/2023,4443.95
09/18/2023,4453.53
09/15/2023,4450.32
09/14/2023,4505.1
09/13/2023,4467.44
09/12/2023,4461.9
09/11/2023,4487.46
09/08/2023,4457.49
09/07/2023,4451.14
09/06/2023,4465.48
09/05/2023,4496.83
09/01/2023,4515.77
08/31/2023,4507.66
08/30/2023,4514.87
08/29/2023,4497.63
08/28/2023,4433.31
08/25/2023,4405.71
08/24/2023,4376.31
08/23/2023,4436.01
08/22/2023,4387.55
08/21/2023,4399.77
08/18/2023,4369.71
08/17/2023,4370.36
08/16/2023,4404.33
08/15/2023,4437.86
08/14/2023,4489.72
08/11/2023,4464.05
08/10/2023,4468.83
08/09/2023,4467.71
08/08/2023,4499.38
08/07/2023,4518.44
08/04/2023,4478.03
08/03/2023,4501.89
08/02/2023,4513.39
08/01/2023,4576.73
07/31/2023,4588.96
07/28/2023,4582.23
07/27/2023,4537.41
07/26/2023,4566.75
07/25/2023,4567.46
07/24/2023,4554.64
07/21/2023,4536.34
07/20/2023,4534.87
07/19/2023,4565.72
07/18/2023,4554.98
07/17/2023,4522.79
07/14/2023,4505.42
07/13/2023,4510.04
07/12/2023,4472.16
07/11/2023,4439.26
07/10/2023,4409.53
07/07/2023,4398.95
07/06/2023,4411.59
07/05/2023,4446.82
07/03/2023,4455.59
06/30/2023,4450.38
06/29/2023,4396.44
06/28/2023,4376.86
06/27/2023,4378.41
06/26/2023,4328.82
06/23/2023,4348.33
06/22/2023,4381.89
06/21/2023,4365.69
06/20/2023,4388.71
06/16/2023,4409.59
06/15/2023,4425.84
06/14/2023,4372.59
06/13/2023,4369.01
06/12/2023,4338.93
06/09/2023,4298.86
06/08/2023,4293.93
06/07/2023,4267.52
06/06/2023,4283.85
06/05/2023,4273.79
06/02/2023,4282.37
06/01/2023,4221.02
05/31/2023,4179.83
05/30/2023,4205.52
05/26/2023,4205.45
05/25/2023,4151.28
05/24/2023,4115.24
05/23/2023,4145.58
05/22/2023,4192.63
05/19/2023,4191.98
05/18/2023,4198.05
05/17/2023,4158.77
05/16/2023,4109.9
05/15/2023,4136.28
05/12/2023,4124.08
05/11/2023,4130.62
05/10/2023,4137.64
05/09/2023,4119.17
05/08/2023,4138.12
05/05/2023,4136.25
05/04/2023,4061.22
05/03/2023,4090.75
05/02/2023,4119.58
05/01/2023,4167.87
04/28/2023,4169.48
04/27/2023,4135.35
04/26/2023,4055.99
04/25/2023,4071.63
04/24/2023,4137.04
04/21/2023,4133.52
04/20/2023,4129.79
04/19/2023,4154.52
04/18/2023,4154.87
