date,copper
24/11/2023,3.7965
22/11/2023,3.7665
21/11/2023,3.8145
20/11/2023,3.8125
17/11/2023,3.7375
16/11/2023,3.7045
15/11/2023,3.7175
14/11/2023,3.6825
13/11/2023,3.6625
10/11/2023,3.5835
09/11/2023,3.635
08/11/2023,3.628
07/11/2023,3.67
06/11/2023,3.7095
02/11/2023,3.6745
01/11/2023,3.667
31/10/2023,3.645
30/10/2023,3.6415
29/10/2023,3.6495
26/10/2023,3.634
25/10/2023,3.5685
24/10/2023,3.572
23/10/2023,3.61
22/10/2023,3.573
19/10/2023,3.542
18/10/2023,3.5915
17/10/2023,3.582
16/10/2023,3.5755
15/10/2023,3.587
12/10/2023,3.58
11/10/2023,3.594
10/10/2023,3.614
09/10/2023,3.632
08/10/2023,3.6425
05/10/2023,3.6245
04/10/2023,3.547
03/10/2023,3.584
02/10/2023,3.6155
01/10/2023,3.632
28/09/2023,3.726
27/09/2023,3.6945
26/09/2023,3.627
25/09/2023,3.625
24/09/2023,3.6495
21/09/2023,3.6655
20/09/2023,3.6665
19/09/2023,3.7465
18/09/2023,3.714
17/09/2023,3.7415
14/09/2023,3.7635
13/09/2023,3.7825
12/09/2023,3.756
11/09/2023,3.752
10/09/2023,3.77
07/09/2023,3.6805
06/09/2023,3.726
05/09/2023,3.7485
04/09/2023,3.811
31/08/2023,3.8125
30/08/2023,3.7725
29/08/2023,3.785
28/08/2023,3.793
27/08/2023,3.754
24/08/2023,3.76
23/08/2023,3.7675
22/08/2023,3.8035
21/08/2023,3.7505
20/08/2023,3.712
17/08/2023,3.699
16/08/2023,3.6855
15/08/2023,3.6515
14/08/2023,3.6615
13/08/2023,3.7245
10/08/2023,3.7145
09/08/2023,3.751
08/08/2023,3.7675
07/08/2023,3.748
06/08/2023,3.813
03/08/2023,3.845
02/08/2023,3.876
01/08/2023,3.8275
31/07/2023,3.8935
30/07/2023,3.9945
27/07/2023,3.917
26/07/2023,3.8635
25/07/2023,3.8905
24/07/2023,3.902
23/07/2023,3.8405
20/07/2023,3.803
19/07/2023,3.8175
18/07/2023,3.7995
17/07/2023,3.816
16/07/2023,3.832
13/07/2023,3.922
12/07/2023,3.9295
11/07/2023,3.842
10/07/2023,3.7535
09/07/2023,3.7715
06/07/2023,3.767
05/07/2023,3.72
04/07/2023,3.7535
03/07/2023,3.779
29/06/2023,3.741
28/06/2023,3.6775
27/06/2023,3.7205
26/06/2023,3.7815
25/06/2023,3.7865
22/06/2023,3.806
21/06/2023,3.8885
20/06/2023,3.911
19/06/2023,3.8785
15/06/2023,3.8845
14/06/2023,3.8965
13/06/2023,3.866
12/06/2023,3.8285
11/06/2023,3.7505
08/06/2023,3.789
07/06/2023,3.7965
06/06/2023,3.7545
05/06/2023,3.767
04/06/2023,3.7625
01/06/2023,3.7225
31/05/2023,3.7065
30/05/2023,3.631
29/05/2023,3.658
25/05/2023,3.6735
24/05/2023,3.5805
23/05/2023,3.5535
22/05/2023,3.6415
21/05/2023,3.674
18/05/2023,3.7225
17/05/2023,3.6815
16/05/2023,3.743
15/05/2023,3.6545
14/05/2023,3.7375
11/05/2023,3.7165
10/05/2023,3.6975
09/05/2023,3.828
08/05/2023,3.889
07/05/2023,3.918
04/05/2023,3.8715
03/05/2023,3.85
02/05/2023,3.8315
01/05/2023,3.848
30/04/2023,3.917
27/04/2023,3.87
26/04/2023,3.8645
25/04/2023,3.85
24/04/2023,3.846
23/04/2023,3.953
20/04/2023,3.98
19/04/2023,4.022
18/04/2023,4.072
17/04/2023,4.0895
16/04/2023,4.066
13/04/2023,4.1075
12/04/2023,4.124
11/04/2023,4.0845
10/04/2023,4.0245
09/04/2023,3.9865
05/04/2023,4.026
04/04/2023,3.998
03/04/2023,3.9835
02/04/2023,4.0595
30/03/2023,4.1045
29/03/2023,4.0905
28/03/2023,4.115
27/03/2023,4.112
26/03/2023,4.1045
23/03/2023,4.1015
22/03/2023,4.146
21/03/2023,4.0685
20/03/2023,4.0185
19/03/2023,3.9755
16/03/2023,3.9135
15/03/2023,3.8855
14/03/2023,3.8565
13/03/2023,4.0105
12/03/2023,4.0695
10/03/2023,4.0455
09/03/2023,4.0545
08/03/2023,4.0415
07/03/2023,3.9865
06/03/2023,4.1005
03/03/2023,4.078
02/03/2023,4.084
01/03/2023,4.168
28/02/2023,4.0975
27/02/2023,4.009
24/02/2023,3.955
23/02/2023,4.073
22/02/2023,4.2025
21/02/2023,4.2345
17/02/2023,4.114
16/02/2023,4.1655
15/02/2023,4.052
14/02/2023,4.11
13/02/2023,4.087
10/02/2023,4.0275
09/02/2023,4.1055
08/02/2023,4.0435
07/02/2023,4.0885
06/02/2023,4.0435
03/02/2023,4.063
02/02/2023,4.094
01/02/2023,4.111
31/01/2023,4.2285
30/01/2023,4.2035
27/01/2023,4.224
26/01/2023,4.267
25/01/2023,4.24
24/01/2023,4.2455
23/01/2023,4.254
20/01/2023,4.2485
19/01/2023,4.2265
18/01/2023,4.2285
17/01/2023,4.215
13/01/2023,4.2075
12/01/2023,4.186
11/01/2023,4.1545
10/01/2023,4.067
09/01/2023,4.0185
06/01/2023,3.9085
05/01/2023,3.818
04/01/2023,3.7395
03/01/2023,3.766
30/12/2022,3.8055
29/12/2022,3.821
28/12/2022,3.832
27/12/2022,3.8335
23/12/2022,3.803
22/12/2022,3.7515
21/12/2022,3.806
20/12/2022,3.7975
19/12/2022,3.783
16/12/2022,3.7615
15/12/2022,3.763
14/12/2022,3.875
13/12/2022,3.8395
12/12/2022,3.7985
09/12/2022,3.876
08/12/2022,3.8805
07/12/2022,3.8555
06/12/2022,3.8115
05/12/2022,3.7895
02/12/2022,3.848
01/12/2022,3.814
30/11/2022,3.7295
29/11/2022,3.63
28/11/2022,3.6105
25/11/2022,3.6265
23/11/2022,3.6175
22/11/2022,3.6145
21/11/2022,3.5715
18/11/2022,3.632
17/11/2022,3.6895
16/11/2022,3.788
15/11/2022,3.8395
14/11/2022,3.855
11/11/2022,3.951
10/11/2022,3.796
09/11/2022,3.7415
08/11/2022,3.7055
07/11/2022,3.6295
03/11/2022,3.7145
02/11/2022,3.4565
01/11/2022,3.5055
31/10/2022,3.5095
30/10/2022,3.4135
27/10/2022,3.466
26/10/2022,3.6255
25/10/2022,3.6295
24/10/2022,3.4505
23/10/2022,3.4795
20/10/2022,3.523
19/10/2022,3.451
18/10/2022,3.3605
17/10/2022,3.4065
16/10/2022,3.4555
13/10/2022,3.4505
12/10/2022,3.4675
11/10/2022,3.4445
10/10/2022,3.478
09/10/2022,3.4535
06/10/2022,3.4125
05/10/2022,3.475
04/10/2022,3.5325
03/10/2022,3.518
02/10/2022,3.458
29/09/2022,3.442
28/09/2022,3.44
27/09/2022,3.382
26/09/2022,3.323
25/09/2022,3.3135
22/09/2022,3.3715
21/09/2022,3.4985
20/09/2022,3.512
19/09/2022,3.548
18/09/2022,3.5575
15/09/2022,3.561
14/09/2022,3.5235
13/09/2022,3.5455
12/09/2022,3.581
11/09/2022,3.6255
08/09/2022,3.581
07/09/2022,3.536
06/09/2022,3.438
05/09/2022,3.469
01/09/2022,3.4215
31/08/2022,3.4145
30/08/2022,3.5185
29/08/2022,3.545
28/08/2022,3.6265
25/08/2022,3.7115
24/08/2022,3.7105
23/08/2022,3.6605
22/08/2022,3.7045
21/08/2022,3.6705
18/08/2022,3.6835
17/08/2022,3.6465
16/08/2022,3.598
15/08/2022,3.6365
14/08/2022,3.629
11/08/2022,3.676
10/08/2022,3.7105
09/08/2022,3.6555
08/08/2022,3.5925
07/08/2022,3.5875
04/08/2022,3.553
03/08/2022,3.483
02/08/2022,3.4695
01/08/2022,3.5245
31/07/2022,3.552
28/07/2022,3.584
27/07/2022,3.475
26/07/2022,3.4295
25/07/2022,3.3825
24/07/2022,3.351
21/07/2022,3.3485
20/07/2022,3.302
19/07/2022,3.3295
18/07/2022,3.2915
17/07/2022,3.348
14/07/2022,3.2345
13/07/2022,3.2105
12/07/2022,3.3255
11/07/2022,3.2965
10/07/2022,3.4375
07/07/2022,3.532
06/07/2022,3.582
05/07/2022,3.418
04/07/2022,3.425
30/06/2022,3.619
29/06/2022,3.7145
28/06/2022,3.779
27/06/2022,3.784
26/06/2022,3.779
23/06/2022,3.76
22/06/2022,3.7585
21/06/2022,3.9515
20/06/2022,4.043
16/06/2022,4.0175
15/06/2022,4.112
14/06/2022,4.1675
13/06/2022,4.1615
12/06/2022,4.2165
09/06/2022,4.301
08/06/2022,4.389
07/06/2022,4.4585
06/06/2022,4.4395
05/06/2022,4.4395
02/06/2022,4.4775
01/06/2022,4.554
31/05/2022,4.33
30/05/2022,4.295
26/05/2022,4.304
25/05/2022,4.255
24/05/2022,4.277
23/05/2022,4.3255
22/05/2022,4.3475
19/05/2022,4.281
18/05/2022,4.285
17/05/2022,4.182
16/05/2022,4.2395
15/05/2022,4.1965
12/05/2022,4.1805
11/05/2022,4.105
10/05/2022,4.2125
09/05/2022,4.1545
08/05/2022,4.193
05/05/2022,4.2615
04/05/2022,4.285
03/05/2022,4.3285
02/05/2022,4.271
01/05/2022,4.2555
28/04/2022,4.395
27/04/2022,4.4135
26/04/2022,4.4545
25/04/2022,4.44
24/04/2022,4.449
21/04/2022,4.5825
20/04/2022,4.7035
19/04/2022,4.6495
18/04/2022,4.714
17/04/2022,4.796
13/04/2022,4.717
12/04/2022,4.707
11/04/2022,4.704
10/04/2022,4.6285
07/04/2022,4.72
06/04/2022,4.695
05/04/2022,4.7335
04/04/2022,4.791
03/04/2022,4.7765
31/03/2022,4.6825
30/03/2022,4.743
29/03/2022,4.7395
28/03/2022,4.7165
27/03/2022,4.714
24/03/2022,4.686
23/03/2022,4.729
22/03/2022,4.7625
21/03/2022,4.689
20/03/2022,4.7015
17/03/2022,4.7305
16/03/2022,4.6905
15/03/2022,4.588
14/03/2022,4.5015
13/03/2022,4.5125
11/03/2022,4.616
10/03/2022,4.6435
09/03/2022,4.564
08/03/2022,4.7005
07/03/2022,4.722
04/03/2022,4.929
03/03/2022,4.7715
02/03/2022,4.6555
01/03/2022,4.5865
28/02/2022,4.4445
25/02/2022,4.472
24/02/2022,4.454
23/02/2022,4.4815
22/02/2022,4.51
18/02/2022,4.5195
17/02/2022,4.525
16/02/2022,4.5405
15/02/2022,4.5315
14/02/2022,4.5075
11/02/2022,4.505
10/02/2022,4.6575
09/02/2022,4.6005
08/02/2022,4.4595
07/02/2022,4.4615
04/02/2022,4.4835
03/02/2022,4.4665
02/02/2022,4.491
01/02/2022,4.429
31/01/2022,4.318
28/01/2022,4.303
27/01/2022,4.413
26/01/2022,4.5045
25/01/2022,4.443
24/01/2022,4.403
21/01/2022,4.5125
20/01/2022,4.5765
19/01/2022,4.4625
18/01/2022,4.376
14/01/2022,4.4115
13/01/2022,4.534
12/01/2022,4.564
11/01/2022,4.4205
10/01/2022,4.3445
07/01/2022,4.403
06/01/2022,4.348
05/01/2022,4.4045
04/01/2022,4.466
03/01/2022,4.4145
31/12/2021,4.455
30/12/2021,4.3845
29/12/2021,4.402
28/12/2021,4.42
27/12/2021,4.465
23/12/2021,4.387
22/12/2021,4.3895
21/12/2021,4.338
20/12/2021,4.288
17/12/2021,4.291
16/12/2021,4.3005
15/12/2021,4.1795
14/12/2021,4.254
13/12/2021,4.28
10/12/2021,4.283
09/12/2021,4.33
08/12/2021,4.391
07/12/2021,4.338
06/12/2021,4.337
03/12/2021,4.2665
02/12/2021,4.299
01/12/2021,4.2475
30/11/2021,4.278
29/11/2021,4.337
26/11/2021,4.2815
24/11/2021,4.458
23/11/2021,4.4235
22/11/2021,4.3955
19/11/2021,4.4085
18/11/2021,4.31
17/11/2021,4.273
16/11/2021,4.3585
15/11/2021,4.407
12/11/2021,4.4555
11/11/2021,4.4045
10/11/2021,4.328
09/11/2021,4.38
08/11/2021,4.405
04/11/2021,4.349
03/11/2021,4.326
02/11/2021,4.326
01/11/2021,4.374
31/10/2021,4.402
28/10/2021,4.3755
27/10/2021,4.4375
26/10/2021,4.387
25/10/2021,4.4865
24/10/2021,4.5515
21/10/2021,4.526
20/10/2021,4.5865
19/10/2021,4.756
18/10/2021,4.714
17/10/2021,4.7305
14/10/2021,4.734
13/10/2021,4.6315
12/10/2021,4.5205
11/10/2021,4.329
10/10/2021,4.3745
07/10/2021,4.283
06/10/2021,4.251
05/10/2021,4.157
04/10/2021,4.202
03/10/2021,4.2465
30/09/2021,4.1935
29/09/2021,4.09
28/09/2021,4.2
27/09/2021,4.245
26/09/2021,4.2935
23/09/2021,4.2875
22/09/2021,4.231
21/09/2021,4.2525
20/09/2021,4.128
19/09/2021,4.117
16/09/2021,4.2455
15/09/2021,4.2785
14/09/2021,4.4035
13/09/2021,4.318
12/09/2021,4.3635
09/09/2021,4.448
08/09/2021,4.2835
07/09/2021,4.232
06/09/2021,4.2775
02/09/2021,4.3255
01/09/2021,4.29
31/08/2021,4.263
30/08/2021,4.36
29/08/2021,4.361
26/08/2021,4.3165
25/08/2021,4.246
24/08/2021,4.265
23/08/2021,4.255
22/08/2021,4.2345
19/08/2021,4.1345
18/08/2021,4.0385
17/08/2021,4.116
16/08/2021,4.2
15/08/2021,4.322
12/08/2021,4.387
11/08/2021,4.356
10/08/2021,4.364
09/08/2021,4.3515
08/08/2021,4.287
05/08/2021,4.3455
04/08/2021,4.3455
03/08/2021,4.33
02/08/2021,4.383
01/08/2021,4.432
29/07/2021,4.4805
28/07/2021,4.52
27/07/2021,4.479
26/07/2021,4.546
25/07/2021,4.589
22/07/2021,4.4065
21/07/2021,4.348
20/07/2021,4.2825
19/07/2021,4.2735
18/07/2021,4.2105
15/07/2021,4.3325
14/07/2021,4.333
13/07/2021,4.277
12/07/2021,4.3145
11/07/2021,4.323
08/07/2021,4.3525
07/07/2021,4.2715
06/07/2021,4.329
05/07/2021,4.258
01/07/2021,4.282
30/06/2021,4.242
29/06/2021,4.2965
28/06/2021,4.2765
27/06/2021,4.278
24/06/2021,4.299
23/06/2021,4.3115
22/06/2021,4.331
21/06/2021,4.2345
20/06/2021,4.1875
17/06/2021,4.1625
16/06/2021,4.1845
15/06/2021,4.3925
