date,crude_oil
24/11/2023,75.54
22/11/2023,77.1
21/11/2023,77.77
20/11/2023,77.6
17/11/2023,75.89
16/11/2023,72.9
15/11/2023,76.66
14/11/2023,78.26
13/11/2023,78.26
10/11/2023,77.17
09/11/2023,75.74
08/11/2023,75.33
07/11/2023,77.37
06/11/2023,80.82
02/11/2023,80.51
01/11/2023,82.46
31/10/2023,80.44
30/10/2023,81.02
29/10/2023,82.31
26/10/2023,85.54
25/10/2023,83.21
24/10/2023,85.39
23/10/2023,83.74
22/10/2023,85.49
19/10/2023,88.75
18/10/2023,89.37
17/10/2023,88.32
16/10/2023,86.66
15/10/2023,86.66
12/10/2023,87.69
11/10/2023,82.91
10/10/2023,83.49
09/10/2023,85.97
08/10/2023,86.38
05/10/2023,82.79
04/10/2023,82.31
03/10/2023,84.22
02/10/2023,89.23
01/10/2023,88.82
28/09/2023,90.79
27/09/2023,91.71
26/09/2023,93.68
25/09/2023,90.39
24/09/2023,89.68
21/09/2023,90.03
20/09/2023,89.63
19/09/2023,90.28
18/09/2023,91.2
17/09/2023,91.48
14/09/2023,90.77
13/09/2023,90.16
12/09/2023,88.52
11/09/2023,88.84
10/09/2023,87.29
07/09/2023,87.51
06/09/2023,86.87
05/09/2023,87.54
04/09/2023,86.69
31/08/2023,85.55
30/08/2023,83.63
29/08/2023,81.63
28/08/2023,81.16
27/08/2023,80.1
24/08/2023,79.83
23/08/2023,79.05
22/08/2023,78.89
21/08/2023,80.35
20/08/2023,80.72
17/08/2023,81.25
16/08/2023,80.39
15/08/2023,79.38
14/08/2023,80.99
13/08/2023,82.51
10/08/2023,83.19
09/08/2023,82.82
08/08/2023,84.4
07/08/2023,82.92
06/08/2023,81.94
03/08/2023,82.82
02/08/2023,81.55
01/08/2023,79.49
31/07/2023,81.37
30/07/2023,81.8
27/07/2023,80.58
26/07/2023,80.09
25/07/2023,78.78
24/07/2023,79.63
23/07/2023,78.74
20/07/2023,77.07
19/07/2023,75.63
18/07/2023,75.35
17/07/2023,75.75
16/07/2023,74.15
13/07/2023,75.42
12/07/2023,76.89
11/07/2023,75.75
10/07/2023,74.83
09/07/2023,72.99
06/07/2023,73.86
05/07/2023,71.8
04/07/2023,71.79
03/07/2023,69.79
29/06/2023,70.64
28/06/2023,69.86
27/06/2023,69.56
26/06/2023,67.7
25/06/2023,69.37
22/06/2023,69.16
21/06/2023,69.51
20/06/2023,72.53
19/06/2023,70.5
15/06/2023,71.78
14/06/2023,70.62
13/06/2023,68.27
12/06/2023,69.42
11/06/2023,67.12
08/06/2023,70.17
07/06/2023,71.29
06/06/2023,72.53
05/06/2023,71.74
04/06/2023,72.15
01/06/2023,71.74
31/05/2023,70.1
30/05/2023,68.09
29/05/2023,69.46
25/05/2023,72.67
24/05/2023,71.83
23/05/2023,74.34
22/05/2023,72.91
21/05/2023,71.99
18/05/2023,71.55
17/05/2023,71.86
16/05/2023,72.83
15/05/2023,70.86
14/05/2023,71.11
11/05/2023,70.04
10/05/2023,70.87
09/05/2023,72.56
08/05/2023,73.71
07/05/2023,73.16
04/05/2023,71.34
03/05/2023,68.56
02/05/2023,68.6
01/05/2023,71.66
30/04/2023,75.66
27/04/2023,76.78
26/04/2023,74.76
25/04/2023,74.3
24/04/2023,77.07
23/04/2023,78.76
20/04/2023,77.87
19/04/2023,77.29
18/04/2023,79.16
17/04/2023,80.86
16/04/2023,80.83
13/04/2023,82.52
12/04/2023,82.16
11/04/2023,83.26
10/04/2023,81.53
09/04/2023,79.74
05/04/2023,80.7
04/04/2023,80.61
03/04/2023,80.71
02/04/2023,80.42
30/03/2023,75.67
29/03/2023,74.37
28/03/2023,72.97
27/03/2023,73.2
26/03/2023,72.81
23/03/2023,69.26
22/03/2023,69.96
21/03/2023,70.9
20/03/2023,69.33
19/03/2023,67.64
16/03/2023,66.74
15/03/2023,68.35
14/03/2023,67.61
13/03/2023,71.33
12/03/2023,74.8
10/03/2023,76.68
09/03/2023,75.72
08/03/2023,76.66
07/03/2023,77.58
06/03/2023,80.46
03/03/2023,79.68
02/03/2023,78.16
01/03/2023,77.69
28/02/2023,77.05
27/02/2023,75.68
24/02/2023,76.32
23/02/2023,75.39
22/02/2023,73.95
21/02/2023,76.16
17/02/2023,76.34
16/02/2023,78.49
15/02/2023,78.59
14/02/2023,79.06
13/02/2023,80.14
10/02/2023,79.72
09/02/2023,78.06
08/02/2023,78.47
07/02/2023,77.14
06/02/2023,74.11
03/02/2023,73.39
02/02/2023,75.88
01/02/2023,76.41
31/01/2023,78.87
30/01/2023,77.9
27/01/2023,79.68
26/01/2023,81.01
25/01/2023,80.15
24/01/2023,80.13
23/01/2023,81.62
20/01/2023,81.31
19/01/2023,80.33
18/01/2023,79.48
17/01/2023,80.18
13/01/2023,79.86
12/01/2023,78.39
11/01/2023,77.41
10/01/2023,75.12
09/01/2023,74.63
06/01/2023,73.77
05/01/2023,73.67
04/01/2023,72.84
03/01/2023,76.93
30/12/2022,80.26
29/12/2022,78.4
28/12/2022,78.96
27/12/2022,79.53
23/12/2022,79.56
22/12/2022,77.49
21/12/2022,78.29
20/12/2022,76.09
19/12/2022,75.19
16/12/2022,74.29
15/12/2022,76.11
14/12/2022,77.28
13/12/2022,75.39
12/12/2022,73.17
09/12/2022,71.02
08/12/2022,71.46
07/12/2022,72.01
06/12/2022,74.25
05/12/2022,76.93
02/12/2022,79.98
01/12/2022,81.22
30/11/2022,80.55
29/11/2022,78.2
28/11/2022,77.24
25/11/2022,76.28
23/11/2022,77.94
22/11/2022,80.95
21/11/2022,79.73
18/11/2022,80.08
17/11/2022,81.64
16/11/2022,85.59
15/11/2022,86.92
14/11/2022,85.87
11/11/2022,88.96
10/11/2022,86.47
09/11/2022,85.83
08/11/2022,88.91
