Date,platinum
11/03/2023,944.3
11/02/2023,930.6
11/01/2023,930.4
10/31/2023,944.9
10/30/2023,939.9
10/27/2023,905.8
10/26/2023,909.0
10/25/2023,912.4
10/24/2023,891.9
10/23/2023,905.0
10/20/2023,905.1
10/19/2023,898.2
10/18/2023,894.3
10/17/2023,906.2
10/16/2023,899.4
10/13/2023,884.2
10/12/2023,875.8
10/11/2023,893.0
10/10/2023,890.2
10/09/2023,888.8
10/06/2023,881.5
10/05/2023,862.5
10/04/2023,874.2
10/03/2023,879.6
10/02/2023,886.8
09/29/2023,915.9
09/28/2023,915.1
09/27/2023,886.5
09/26/2023,907.1
09/25/2023,917.5
09/22/2023,934.1
09/21/2023,924.6
09/20/2023,942.3
09/19/2023,948.4
09/18/2023,938.3
09/15/2023,929.5
09/14/2023,911.1
09/13/2023,905.2
09/12/2023,912.8
09/11/2023,902.3
09/08/2023,894.8
09/07/2023,909.6
09/06/2023,915.3
09/05/2023,933.5
09/01/2023,968.7
08/31/2023,974.4
08/30/2023,983.3
08/29/2023,986.1
08/28/2023,972.2
08/25/2023,948.2
08/24/2023,943.0
08/23/2023,938.2
08/22/2023,925.5
08/21/2023,913.5
08/18/2023,915.0
08/17/2023,895.6
08/16/2023,891.3
08/15/2023,892.2
08/14/2023,906.8
08/11/2023,914.6
08/10/2023,914.8
08/09/2023,892.7
08/08/2023,904.2
08/07/2023,926.9
08/04/2023,928.5
08/03/2023,921.8
08/02/2023,930.4
08/01/2023,940.4
07/31/2023,958.6
07/28/2023,943.7
07/27/2023,945.0
07/26/2023,972.0
07/25/2023,976.6
07/24/2023,969.5
07/21/2023,972.2
07/20/2023,964.1
07/19/2023,984.8
07/18/2023,994.4
07/17/2023,987.5
07/14/2023,984.3
07/13/2023,983.4
07/12/2023,956.6
07/11/2023,932.4
07/10/2023,934.8
07/07/2023,918.5
07/06/2023,909.7
07/05/2023,925.0
07/03/2023,916.0
06/30/2023,913.2
06/29/2023,906.8
06/28/2023,924.9
06/27/2023,928.5
06/26/2023,928.6
06/23/2023,923.7
06/22/2023,926.5
06/21/2023,949.0
06/20/2023,968.0
06/16/2023,987.3
06/15/2023,991.9
06/14/2023,980.0
06/13/2023,981.9
06/12/2023,995.3
06/09/2023,"1,012.8"
06/08/2023,"1,013.9"
06/07/2023,"1,024.6"
06/06/2023,"1,038.7"
06/05/2023,"1,036.4"
06/02/2023,"1,003.5"
06/01/2023,"1,010.1"
05/31/2023,999.0
05/30/2023,"1,021.9"
05/26/2023,"1,028.1"
05/25/2023,"1,026.3"
05/24/2023,"1,029.5"
05/23/2023,"1,057.6"
05/22/2023,"1,077.3"
05/19/2023,"1,075.7"
05/18/2023,"1,058.2"
05/17/2023,"1,082.6"
05/16/2023,"1,066.9"
05/15/2023,"1,074.7"
05/12/2023,"1,067.0"
05/11/2023,"1,105.0"
05/10/2023,"1,119.1"
05/09/2023,"1,116.0"
05/08/2023,"1,087.7"
05/05/2023,"1,068.3"
05/04/2023,"1,050.3"
05/03/2023,"1,061.8"
05/02/2023,"1,078.3"
05/01/2023,"1,064.7"
04/28/2023,"1,090.1"
04/27/2023,"1,093.2"
04/26/2023,"1,106.0"
04/25/2023,"1,098.2"
04/24/2023,"1,097.7"
04/21/2023,"1,138.7"
04/20/2023,"1,107.6"
04/19/2023,"1,105.7"
04/18/2023,"1,097.3"
04/17/2023,"1,059.6"
04/14/2023,"1,054.0"
04/13/2023,"1,065.5"
04/12/2023,"1,027.5"
04/11/2023,"1,005.1"
04/10/2023,"1,002.9"
04/06/2023,"1,016.8"
04/05/2023,"1,007.4"
04/04/2023,"1,029.0"
04/03/2023,996.4
03/31/2023,"1,003.1"
03/30/2023,996.9
03/29/2023,977.4
03/28/2023,963.4
03/27/2023,977.1
03/24/2023,983.9
03/23/2023,992.9
03/22/2023,987.0
03/21/2023,976.7
03/20/2023,996.8
03/17/2023,978.6
03/16/2023,977.1
03/15/2023,970.3
03/14/2023,997.3
03/13/2023,"1,004.9"
03/10/2023,962.2
03/09/2023,949.3
03/08/2023,940.6
03/07/2023,936.3
03/06/2023,978.6
03/03/2023,979.4
03/02/2023,963.2
03/01/2023,961.8
02/28/2023,955.5
02/27/2023,941.9
02/24/2023,907.9
02/23/2023,945.5
02/22/2023,953.3
02/21/2023,948.6
02/17/2023,921.4
02/16/2023,931.0
02/15/2023,917.8
02/14/2023,939.2
02/13/2023,959.4
02/10/2023,951.8
02/09/2023,964.2
02/08/2023,987.2
02/07/2023,986.2
02/06/2023,974.6
02/03/2023,980.3
02/02/2023,"1,032.6"
02/01/2023,"1,001.7"
01/31/2023,"1,021.1"
01/30/2023,"1,020.6"
01/27/2023,"1,016.8"
01/26/2023,"1,023.0"
01/25/2023,"1,046.1"
01/24/2023,"1,066.8"
01/23/2023,"1,056.3"
01/20/2023,"1,047.8"
01/19/2023,"1,041.1"
01/18/2023,"1,043.7"
01/17/2023,"1,046.9"
01/13/2023,"1,072.5"
01/12/2023,"1,084.3"
01/11/2023,"1,084.3"
01/10/2023,"1,088.5"
01/09/2023,"1,098.6"
01/06/2023,"1,104.3"
01/05/2023,"1,069.6"
01/04/2023,"1,092.3"
01/03/2023,"1,093.3"
12/30/2022,"1,082.9"
12/29/2022,"1,065.0"
12/28/2022,"1,020.2"
12/27/2022,"1,029.7"
12/23/2022,"1,029.6"
12/22/2022,984.6
12/21/2022,"1,002.0"
12/20/2022,"1,013.0"
12/19/2022,987.7
12/16/2022,"1,000.0"
12/15/2022,"1,013.2"
