Date,open,high,low,close
11/03/2023,1993.5,2011.9,1989.3,1999.2
11/02/2023,1992.0,1999.2,1986.3,1993.5
11/01/2023,1993.3,2005.9,1978.2,1987.5
10/31/2023,2005.6,2017.7,1987.4,1994.3
10/30/2023,2013.5,2016.8,1999.7,2005.6
10/27/2023,1995.0,2019.7,1986.4,1998.5
10/26/2023,1991.2,2003.7,1981.6,1997.4
10/25/2023,1982.7,1998.6,1973.6,1994.9
10/24/2023,1984.1,1992.0,1964.6,1986.1
10/23/2023,1987.7,1994.3,1971.0,1987.8
10/20/2023,1988.0,2009.2,1983.7,1994.4
10/19/2023,1960.1,1990.2,1957.0,1980.5
10/18/2023,1936.7,1975.8,1935.9,1968.3
10/17/2023,1933.3,1944.5,1924.6,1935.7
10/16/2023,1941.3,1943.0,1921.2,1934.3
10/13/2023,1881.7,1946.2,1881.5,1941.5
10/12/2023,1888.1,1898.3,1880.6,1883.0
10/11/2023,1873.7,1890.9,1871.7,1887.3
10/10/2023,1875.4,1879.1,1866.1,1875.3
10/09/2023,1861.0,1877.3,1857.5,1864.3
10/06/2023,1834.3,1849.0,1823.5,1845.2
10/05/2023,1837.6,1843.5,1826.2,1831.8
10/04/2023,1838.7,1846.8,1831.6,1834.8
10/03/2023,1844.9,1849.3,1830.9,1841.5
10/02/2023,1864.4,1864.7,1842.7,1847.2
09/29/2023,1882.3,1896.7,1862.3,1866.1
09/28/2023,1893.3,1896.8,1874.5,1878.6
09/27/2023,1918.8,1921.7,1890.3,1890.9
09/26/2023,1935.1,1935.5,1917.2,1919.8
09/25/2023,1944.7,1946.8,1933.8,1936.6
09/22/2023,1939.6,1949.1,1939.6,1945.6
09/21/2023,1952.0,1952.2,1933.1,1939.6
09/20/2023,1953.0,1968.9,1948.6,1967.1
09/19/2023,1955.3,1958.9,1950.9,1953.7
09/18/2023,1945.7,1955.7,1943.8,1953.4
09/15/2023,1932.5,1952.4,1931.2,1946.2
09/14/2023,1930.7,1934.5,1921.7,1932.8
09/13/2023,1935.2,1938.4,1927.2,1932.5
09/12/2023,1945.6,1947.5,1929.9,1935.1
09/11/2023,1943.3,1954.6,1939.5,1947.2
09/08/2023,1943.8,1954.0,1940.8,1942.7
09/07/2023,1942.2,1947.9,1940.3,1942.5
09/06/2023,1951.5,1954.5,1940.0,1944.2
09/05/2023,1964.2,1964.7,1950.6,1952.6
09/01/2023,1966.4,1980.2,1960.7,1967.1
08/31/2023,1970.2,1974.9,1965.5,1965.9
08/30/2023,1966.0,1977.1,1962.8,1973.0
08/29/2023,1948.1,1966.5,1941.7,1965.1
08/28/2023,1944.0,1954.2,1940.1,1946.8
08/25/2023,1944.9,1950.4,1931.0,1939.9
08/24/2023,1944.9,1951.3,1939.2,1947.1
08/23/2023,1926.8,1949.7,1926.2,1948.1
08/22/2023,1924.0,1933.2,1917.5,1926.0
08/21/2023,1918.4,1927.9,1913.6,1923.0
08/18/2023,1919.2,1926.0,1915.9,1916.5
08/17/2023,1922.4,1933.5,1914.2,1915.2
08/16/2023,1933.1,1938.2,1922.0,1928.3
08/15/2023,1939.4,1944.3,1927.5,1935.2
08/14/2023,1945.6,1948.2,1934.2,1944.0
08/11/2023,1944.9,1953.6,1942.7,1946.6
08/10/2023,1947.7,1963.5,1944.4,1948.9
08/09/2023,1959.3,1966.1,1947.2,1950.6
08/08/2023,1971.5,1972.8,1956.5,1959.9
08/07/2023,1977.6,1981.7,1966.1,1970.0
08/04/2023,1969.6,1984.2,1954.5,1976.1
08/03/2023,1970.8,1974.5,1964.5,1968.8
08/02/2023,1988.9,1992.2,1969.1,1975.0
08/01/2023,2004.2,2004.4,1978.3,1978.8
07/31/2023,1997.9,2010.9,1986.7,2009.2
07/28/2023,1945.5,1962.2,1944.2,1960.4
07/27/2023,1973.3,1982.6,1941.7,1945.7
07/26/2023,1966.3,1979.9,1963.2,1970.1
07/25/2023,1957.0,1967.1,1951.6,1963.7
07/24/2023,1963.6,1969.8,1955.3,1962.2
07/21/2023,1972.1,1975.9,1958.8,1966.6
07/20/2023,1980.0,1989.8,1967.7,1970.9
07/19/2023,1982.5,1984.6,1973.3,1980.8
07/18/2023,1958.3,1988.3,1958.1,1980.8
07/17/2023,1958.6,1963.6,1949.0,1956.4
07/14/2023,1965.2,1967.8,1954.7,1964.4
07/13/2023,1962.7,1968.5,1956.6,1963.8
07/12/2023,1938.0,1965.1,1937.5,1961.7
07/11/2023,1930.8,1944.5,1929.8,1937.1
07/10/2023,1930.7,1933.7,1918.0,1931.0
07/07/2023,1916.6,1941.1,1915.4,1932.5
07/06/2023,1922.4,1934.0,1908.5,1915.4
07/05/2023,1933.7,1942.9,1922.1,1927.1
07/03/2023,1927.8,1939.9,1917.7,1929.5
06/30/2023,1916.4,1930.8,1908.1,1929.4
06/29/2023,1916.5,1921.3,1900.6,1917.9
06/28/2023,1923.1,1926.1,1911.4,1922.2
06/27/2023,1932.7,1940.3,1919.8,1923.8
06/26/2023,1936.3,1943.4,1931.1,1933.8
06/23/2023,1923.5,1949.0,1919.5,1929.6
06/22/2023,1943.3,1945.1,1922.0,1923.7
06/21/2023,1948.0,1950.4,1929.3,1944.9
06/20/2023,1962.7,1968.7,1940.8,1947.7
06/16/2023,1970.3,1980.4,1965.4,1971.2
06/15/2023,1955.7,1972.8,1936.1,1970.7
06/14/2023,1957.2,1973.9,1952.5,1968.9
06/13/2023,1971.4,1985.9,1953.0,1958.6
06/12/2023,1975.6,1981.4,1963.1,1969.7
06/09/2023,1980.5,1987.8,1971.0,1977.2
06/08/2023,1956.2,1985.7,1955.2,1978.6
06/07/2023,1980.0,1986.5,1955.4,1958.4
06/06/2023,1978.0,1982.9,1970.3,1981.5
06/05/2023,1962.3,1980.4,1953.8,1974.3
06/02/2023,1994.6,2000.5,1963.7,1969.6
06/01/2023,1981.3,2000.7,1970.1,1995.5
05/31/2023,1977.5,1993.1,1971.8,1982.1
05/30/2023,1962.4,1981.9,1949.6,1977.1
05/26/2023,1941.7,1957.1,1936.0,1944.3
05/25/2023,1959.5,1965.4,1939.0,1943.7
05/24/2023,1977.3,1987.9,1958.4,1964.6
05/23/2023,1973.9,1980.0,1955.8,1974.5
05/22/2023,1979.4,1984.8,1970.7,1977.2
05/19/2023,1960.5,1987.4,1956.3,1981.6
05/18/2023,1985.6,1988.8,1954.4,1959.8
05/17/2023,1993.0,1997.0,1978.1,1984.9
05/16/2023,2021.3,2022.7,1989.1,1993.0
05/15/2023,2013.4,2027.5,2011.2,2022.7
05/12/2023,2020.5,2027.8,2005.7,2019.8
05/11/2023,2036.8,2047.6,2016.7,2020.5
05/10/2023,2041.6,2056.0,2028.3,2037.1
05/09/2023,2028.4,2045.1,2026.4,2042.9
05/08/2023,2024.6,2037.1,2022.0,2033.2
05/05/2023,2058.0,2061.3,2007.0,2024.8
05/04/2023,2054.7,2085.4,2038.5,2055.7
05/03/2023,2026.4,2050.0,2016.0,2037.0
05/02/2023,1990.5,2028.8,1986.9,2023.3
05/01/2023,2000.2,2015.4,1985.7,1992.2
04/28/2023,1997.2,2004.1,1984.4,1999.1
04/27/2023,1999.8,2013.3,1982.0,1999.0
04/26/2023,2007.7,2020.2,1993.7,1996.0
04/25/2023,1999.4,2014.5,1986.2,2004.5
04/24/2023,1992.0,2001.5,1984.4,1999.8
04/21/2023,2016.1,2016.8,1982.3,1990.5
04/20/2023,2007.7,2024.2,2002.2,2019.1
04/19/2023,2017.9,2020.3,1980.9,2007.3
04/18/2023,2007.9,2024.6,2003.3,2019.7
04/17/2023,2014.1,2028.0,1993.4,2007.0
04/14/2023,2054.7,2061.6,2006.0,2015.8
04/13/2023,2029.5,2063.4,2028.3,2055.3
