date,DXY
19/12/2023,102.17
18/12/2023,102.51
17/12/2023,NaN
15/12/2023,102.55
14/12/2023,101.96
13/12/2023,102.87
12/12/2023,103.87
11/12/2023,104.1
10/12/2023,NaN
08/12/2023,104.01
07/12/2023,103.54
06/12/2023,104.15
05/12/2023,104.05
04/12/2023,103.64
03/12/2023,NaN
01/12/2023,103.27
30/11/2023,103.5
29/11/2023,102.77
28/11/2023,102.75
27/11/2023,103.2
26/11/2023,NaN
24/11/2023,103.4
23/11/2023,NaN
22/11/2023,103.92
21/11/2023,103.57
20/11/2023,103.47
19/11/2023,NaN
17/11/2023,103.82
16/11/2023,104.37
15/11/2023,104.39
14/11/2023,104.11
13/11/2023,105.66
12/11/2023,NaN
10/11/2023,105.86
09/11/2023,105.91
08/11/2023,105.59
07/11/2023,105.54
06/11/2023,105.22
04/11/2023,NaN
02/11/2023,105.02
