i,date,Open,High,Low,Close
0,19/12/2023,2025.2,2042.7,2025.2,2038.4
1,18/12/2023,2024.3,2032.8,2024.0,2026.3
2,15/12/2023,2032.6,2043.4,2018.3,2021.1
3,14/12/2023,2024.7,2040.1,2024.3,2030.2
4,13/12/2023,1978.5,2024.8,1975.0,1982.3
5,12/12/2023,1984.2,1994.2,1977.8,1977.8
6,11/12/2023,2004.1,2004.2,1977.2,1978.0
7,08/12/2023,2031.7,2033.1,1995.0,1998.3
8,07/12/2023,2029.2,2034.9,2024.0,2029.9
9,06/12/2023,2019.9,2035.8,2019.0,2030.5
10,05/12/2023,2035.1,2037.0,2010.2,2018.5
11,04/12/2023,2075.3,2130.2,2021.0,2024.1
12,01/12/2023,2038.3,2073.2,2036.0,2071.0
13,30/11/2023,2046.1,2047.1,2033.1,2038.1
14,29/11/2023,2041.7,2052.1,2036.0,2047.1
15,28/11/2023,2040.6,2042.7,2039.7,2039.7
16,27/11/2023,2011.7,2011.8,2011.7,2011.8
17,24/11/2023,1991.9,2002.2,1991.5,2002.2
18,23/11/2023,1991.9,1991.9,1991.5,1991.5
19,22/11/2023,1999.1,1999.4,1991.0,1991.4
20,21/11/2023,1990.7,2005.5,1988.5,1999.3
21,20/11/2023,1978.7,1979.4,1969.7,1977.7
22,17/11/2023,1982.5,1984.0,1979.8,1981.6
23,16/11/2023,1965.3,1983.9,1964.6,1983.9
24,15/11/2023,1962.8,1962.8,1960.0,1960.1
25,14/11/2023,1965.8,1965.8,1961.8,1961.8
26,13/11/2023,1939.9,1947.2,1934.0,1945.5
27,10/11/2023,1959.6,1959.6,1932.6,1932.6
28,09/11/2023,1951.7,1964.2,1945.3,1964.2
29,08/11/2023,1967.8,1967.8,1947.7,1951.5
30,07/11/2023,1966.5,1966.8,1960.7,1966.8
31,06/11/2023,1981.6,1981.6,1977.4,1981.6
32,02/11/2023,1989.0,1991.5,1989.0,1991.5
