date,MSCI
19/12/2023,542.53
18/12/2023,532.86
15/12/2023,531.58
14/12/2023,542.11
13/12/2023,546.37
12/12/2023,526.02
11/12/2023,516.61
08/12/2023,506.68
07/12/2023,508.44
06/12/2023,515.11
05/12/2023,523.43
04/12/2023,525.49
01/12/2023,527.7
30/11/2023,520.85
29/11/2023,526.57
28/11/2023,523.84
27/11/2023,525.35
24/11/2023,528.35
22/11/2023,523.97
21/11/2023,524.89
20/11/2023,522.21
17/11/2023,521.42
16/11/2023,524.27
15/11/2023,521.75
14/11/2023,518.05
13/11/2023,503.79
10/11/2023,514.26
09/11/2023,506.22
08/11/2023,504.98
07/11/2023,497.3
06/11/2023,496.56
03/11/2023,497.76
