date,NASDAQ
19/12/2023,15003.22
18/12/2023,14904.81
15/12/2023,14813.92
14/12/2023,14761.56
13/12/2023,14733.96
12/12/2023,14533.4
11/12/2023,14432.49
08/12/2023,14403.97
07/12/2023,14339.99
06/12/2023,14146.71
05/12/2023,14229.91
04/12/2023,14185.49
01/12/2023,14305.03
30/11/2023,14226.22
29/11/2023,14258.49
28/11/2023,14281.76
27/11/2023,14241.02
24/11/2023,14250.85
22/11/2023,14265.86
21/11/2023,14199.98
20/11/2023,14284.53
17/11/2023,14125.48
16/11/2023,14113.67
15/11/2023,14103.84
14/11/2023,14094.38
13/11/2023,13767.74
10/11/2023,13798.11
09/11/2023,13521.45
08/11/2023,13650.41
07/11/2023,13639.86
06/11/2023,13518.78
03/11/2023,13478.28
