date,RUT
19/12/2023,2020.95
18/12/2023,1982.42
15/12/2023,1985.13
14/12/2023,2000.51
13/12/2023,1947.51
12/12/2023,1881.27
11/12/2023,1883.68
08/12/2023,1880.82
07/12/2023,1868.25
06/12/2023,1852.05
05/12/2023,1856.04
04/12/2023,1882.02
01/12/2023,1862.64
30/11/2023,1809.02
29/11/2023,1803.81
28/11/2023,1792.81
27/11/2023,1801.15
24/11/2023,1807.5
22/11/2023,1795.54
21/11/2023,1783.26
20/11/2023,1807.08
17/11/2023,1797.77
16/11/2023,1773.76
15/11/2023,1801.22
14/11/2023,1798.32
13/11/2023,1705.5
10/11/2023,1705.32
09/11/2023,1687.24
08/11/2023,1714.07
07/11/2023,1733.15
06/11/2023,1737.94
03/11/2023,1760.7
