date,SP500
19/12/2023,4768.37
18/12/2023,4740.56
15/12/2023,4719.19
14/12/2023,4719.55
13/12/2023,4707.09
12/12/2023,4643.7
11/12/2023,4622.44
08/12/2023,4604.37
07/12/2023,4585.59
06/12/2023,4549.34
05/12/2023,4567.18
04/12/2023,4569.78
01/12/2023,4594.63
30/11/2023,4567.8
29/11/2023,4550.58
28/11/2023,4554.89
27/11/2023,4550.43
24/11/2023,4559.34
22/11/2023,4556.62
21/11/2023,4538.19
20/11/2023,4547.38
17/11/2023,4514.02
16/11/2023,4508.24
15/11/2023,4502.88
14/11/2023,4495.7
13/11/2023,4411.55
10/11/2023,4415.24
09/11/2023,4347.35
08/11/2023,4382.78
07/11/2023,4378.38
06/11/2023,4365.98
03/11/2023,4358.34
