date,copper
19/12/2023,3.896
18/12/2023,3.848
15/12/2023,3.885
14/12/2023,3.8885
13/12/2023,3.786
12/12/2023,3.786
11/12/2023,3.78
08/12/2023,3.82
07/12/2023,3.7845
06/12/2023,3.7165
05/12/2023,3.7725
04/12/2023,3.8205
01/12/2023,3.909
30/11/2023,3.829
29/11/2023,3.786
28/11/2023,3.801
27/11/2023,3.7625
24/11/2023,3.7965
23/11/2023,3.779
22/11/2023,3.7665
21/11/2023,3.8145
20/11/2023,3.8125
17/11/2023,3.7375
16/11/2023,3.7045
15/11/2023,3.7175
14/11/2023,3.6825
13/11/2023,3.6625
10/11/2023,3.5835
09/11/2023,3.635
08/11/2023,3.628
07/11/2023,3.67
06/11/2023,3.7095
02/11/2023,3.6745
