date,crude_oil
19/12/2023,73.44
18/12/2023,72.47
15/12/2023,71.43
14/12/2023,71.58
13/12/2023,69.47
12/12/2023,68.61
11/12/2023,71.32
08/12/2023,71.23
07/12/2023,69.34
06/12/2023,69.38
05/12/2023,72.32
04/12/2023,73.04
01/12/2023,74.07
30/11/2023,75.96
29/11/2023,77.86
28/11/2023,76.41
27/11/2023,74.86
24/11/2023,75.54
23/11/2023,76.35
22/11/2023,77.1
21/11/2023,77.77
20/11/2023,77.6
17/11/2023,75.89
16/11/2023,72.9
15/11/2023,76.66
14/11/2023,78.26
13/11/2023,78.26
10/11/2023,77.17
09/11/2023,75.74
08/11/2023,75.33
07/11/2023,77.37
06/11/2023,80.82
02/11/2023,80.51
