date,platinum
19/12/2023,963.0
18/12/2023,951.5
15/12/2023,949.8
14/12/2023,965.1
13/12/2023,918.5
12/12/2023,927.4
11/12/2023,912.1
08/12/2023,916.2
07/12/2023,908.1
06/12/2023,889.7
05/12/2023,902.6
04/12/2023,921.1
01/12/2023,932.0
30/11/2023,931.2
29/11/2023,936.4
28/11/2023,944.1
27/11/2023,917.1
24/11/2023,931.1
23/11/2023,NaN
22/11/2023,924.6
21/11/2023,940.0
20/11/2023,921.5
17/11/2023,894.7
16/11/2023,897.1
15/11/2023,895.3
14/11/2023,886.2
13/11/2023,857.0
10/11/2023,838.6
09/11/2023,856.6
08/11/2023,865.4
07/11/2023,891.5
06/11/2023,910.2
02/11/2023,936.6
