date,rice
19/12/2023,1723.5
18/12/2023,1738.5
15/12/2023,1712.0
14/12/2023,1710.5
13/12/2023,1694.0
12/12/2023,1689.0
11/12/2023,1709.0
08/12/2023,1704.0
07/12/2023,1708.0
06/12/2023,1695.0
05/12/2023,1681.0
04/12/2023,1690.0
01/12/2023,1718.5
30/11/2023,1734.5
29/11/2023,1741.0
28/11/2023,1738.0
27/11/2023,1724.0
24/11/2023,1756.5
23/11/2023,NaN
22/11/2023,1730.0
21/11/2023,1750.0
20/11/2023,1739.5
17/11/2023,1740.5
16/11/2023,1725.0
15/11/2023,1694.0
14/11/2023,1673.0
13/11/2023,1685.0
10/11/2023,1690.0
09/11/2023,1666.5
08/11/2023,1663.0
07/11/2023,1632.0
06/11/2023,1622.0
02/11/2023,1621.5
