date,silver
19/12/2023,24.04
18/12/2023,23.831
15/12/2023,23.87
14/12/2023,24.096
13/12/2023,22.639
12/12/2023,22.728
11/12/2023,22.773
08/12/2023,22.971
07/12/2023,23.732
06/12/2023,23.889
05/12/2023,24.201
04/12/2023,24.555
01/12/2023,25.499
30/11/2023,25.293
29/11/2023,25.072
28/11/2023,24.93
27/11/2023,24.672
24/11/2023,24.329
23/11/2023,NaN
22/11/2023,23.672
21/11/2023,23.843
20/11/2023,23.579
17/11/2023,23.809
16/11/2023,23.892
15/11/2023,23.485
14/11/2023,23.079
13/11/2023,22.299
10/11/2023,22.215
09/11/2023,22.831
08/11/2023,22.647
07/11/2023,22.508
06/11/2023,23.149
02/11/2023,23.201
